model,ESS,burnin_runtime,sample_runtime,N,D,Q,total_iter,burnin_iter,percent_zero,lambda_MSE,percent_outside_95CI,random_seed
stan_uncollapsed,339.475785170394,197.19,87.8,100,30,2,4000,2000,0.00533333333333333,0.00299346419385286,0,1
stan_uncollapsed,523.261016333559,258.47,327.72,100,30,2,4000,2000,0.0183333333333333,0.00291652738638224,0.0344827586206897,2
stan_uncollapsed,408.641490299332,228.53,177.3,100,30,2,4000,2000,0.00733333333333333,0.00378686122977115,0.0689655172413793,3
stan_uncollapsed,287.473432464745,375.88,168.33,100,30,4,4000,2000,0.061,0.00734783847295092,0.0775862068965517,1
stan_uncollapsed,365.273823417134,417,218.06,100,30,4,4000,2000,0.06,0.00555176361821543,0.0689655172413793,2
stan_uncollapsed,336.555838327603,394.5,166.5,100,30,4,4000,2000,0.091,0.00572180769414613,0.0431034482758621,3
stan_uncollapsed,186.859308468578,854.1,498.94,100,30,10,4000,2000,0.309,0.0148044780454543,0.0310344827586207,1
stan_uncollapsed,205.891427883111,679.34,386.76,100,30,10,4000,2000,0.286333333333333,0.0124676394087349,0.0206896551724138,2
stan_uncollapsed,277.794986212245,844.79,490.47,100,30,10,4000,2000,0.297333333333333,0.0165178659759335,0.0482758620689655,3
stan_uncollapsed,839.167138626381,1725.3,1546.51,100,30,20,4000,2000,0.544666666666667,0.0708197151859346,0.096551724137931,1
stan_uncollapsed,571.044464138496,1191.15,1247.15,100,30,20,4000,2000,0.538666666666667,0.072470207358441,0.096551724137931,2
stan_uncollapsed,471.995311150472,1414.88,1216.21,100,30,20,4000,2000,0.503,0.0558234666326299,0.0879310344827586,3
stan_uncollapsed,127.29118987576,2220.95,2311.03,100,30,50,4000,2000,0.761,0.669314056785624,0.235862068965517,1
stan_uncollapsed,95.9835763476484,2220.04,2119.58,100,30,50,4000,2000,0.736333333333333,0.639517781011656,0.231034482758621,2
stan_uncollapsed,122.756685602756,1630.48,1579.88,100,30,50,4000,2000,0.735,0.622085632327955,0.244827586206897,3
stan_uncollapsed,41.1831443556571,2515.89,2371.65,100,30,75,4000,2000,0.816333333333333,1.17986523467719,0.189885057471264,1
stan_uncollapsed,38.7113787024115,1838.43,1851.58,100,30,75,4000,2000,0.820333333333333,1.20563851262595,0.194022988505747,2
stan_uncollapsed,43.1547986159424,1630.76,1657.15,100,30,75,4000,2000,0.817333333333333,1.17854437405791,0.223448275862069,3
stan_uncollapsed,44.3054193928208,2306.53,2332.9,100,30,100,4000,2000,0.835,1.16656329106734,0.204137931034483,1
stan_uncollapsed,26.0582352109634,1560.43,1601.81,100,30,100,4000,2000,0.854666666666667,1.45418034752268,0.166896551724138,2
stan_uncollapsed,30.2713837060977,1976.2,1979.4,100,30,100,4000,2000,0.852666666666667,1.37211606184206,0.198620689655172,3
stan_uncollapsed,24.4990852455359,3244.3,3283.89,100,30,250,4000,2000,0.915333333333333,1.37105976828854,0.248827586206897,1
stan_uncollapsed,25.4090779828068,3807.68,3038.63,100,30,250,4000,2000,0.905333333333333,1.36416256607423,0.23351724137931,2
stan_uncollapsed,32.1440400535962,2423.33,2458.41,100,30,250,4000,2000,0.896666666666667,1.28679471691259,0.250758620689655,3
stan_uncollapsed,29.1470076668291,6327.66,6380.05,100,30,500,4000,2000,0.932666666666667,1.23203907093533,0.336068965517241,1
stan_uncollapsed,28.374723696351,5400.91,5560.38,100,30,500,4000,2000,0.937,1.21499903772359,0.355724137931034,2
stan_uncollapsed,30.9944189967299,5354.05,5453.97,100,30,500,4000,2000,0.928666666666667,1.23430020890894,0.34351724137931,3
stan_collapsed,913.01333926494,137.88,162.14,100,30,2,4000,2000,0.00533333333333333,0.0030500314556988,0.0344827586206897,1
stan_collapsed,384.556210876341,158.89,109.95,100,30,2,4000,2000,0.0183333333333333,0.00284572480701975,0.0344827586206897,2
stan_collapsed,1027.11083417269,135.36,127.02,100,30,2,4000,2000,0.00733333333333333,0.00373342918740639,0.0689655172413793,3
stan_collapsed,241.465803174936,224.57,214.69,100,30,4,4000,2000,0.061,0.00739941246202241,0.0775862068965517,1
stan_collapsed,267.328925009026,253.57,122.04,100,30,4,4000,2000,0.06,0.0053243124487914,0.0948275862068965,2
stan_collapsed,351.827861028823,212.08,224.38,100,30,4,4000,2000,0.091,0.00545726841334236,0.0517241379310345,3
stan_collapsed,379.657341819406,509.2,633.36,100,30,10,4000,2000,0.309,0.0143692952961645,0.0586206896551724,1
stan_collapsed,127.397227458808,384.41,269.66,100,30,10,4000,2000,0.286333333333333,0.0127044152306682,0.0448275862068966,2
stan_collapsed,209.538210314921,443.65,310.87,100,30,10,4000,2000,0.297333333333333,0.0165778726556971,0.0655172413793104,3
stan_collapsed,633.613220208019,1057.25,915.96,100,30,20,4000,2000,0.544666666666667,0.0732708179685883,0.186206896551724,1
stan_collapsed,436.878388345603,881.02,717.31,100,30,20,4000,2000,0.538666666666667,0.0804544846121873,0.206896551724138,2
stan_collapsed,604.466565665463,988.76,850.99,100,30,20,4000,2000,0.503,0.0574435293289856,0.146551724137931,3
stan_collapsed,856.594401504912,1730.76,1724.38,100,30,50,4000,2000,0.761,0.6530775016776,0.368965517241379,1
stan_collapsed,849.628146932371,2069.18,2108.8,100,30,50,4000,2000,0.736333333333333,0.603266923296745,0.339310344827586,2
stan_collapsed,983.038399992652,1742.11,1698.55,100,30,50,4000,2000,0.735,0.589857569130909,0.344137931034483,3
stan_collapsed,452.747807585543,1835.26,1828.27,100,30,75,4000,2000,0.816333333333333,1.03253768301845,0.296091954022988,1
stan_collapsed,566.504175844899,1618.94,1647.46,100,30,75,4000,2000,0.820333333333333,1.02470945593478,0.309425287356322,2
stan_collapsed,520.096987514039,3418.17,1700.19,100,30,75,4000,2000,0.817333333333333,1.06779778485872,0.323218390804598,3
stan_collapsed,1059.31923254313,1522.48,1568.36,100,30,100,4000,2000,0.835,1.04004567075986,0.311379310344828,1
stan_collapsed,609.116088488977,1541.7,1567.86,100,30,100,4000,2000,0.854666666666667,1.24456028519155,0.277586206896552,2
stan_collapsed,940.297481476329,1831.3,1910.32,100,30,100,4000,2000,0.852666666666667,1.16720097386456,0.30551724137931,3
stan_collapsed,944.369752664744,1533.11,1562.47,100,30,250,4000,2000,0.915333333333333,1.39068755708839,0.250620689655172,1
stan_collapsed,1029.88237177983,1836.46,1867.15,100,30,250,4000,2000,0.905333333333333,1.28904257251064,0.281931034482759,2
stan_collapsed,1206.13519176658,1525.54,1573.08,100,30,250,4000,2000,0.896666666666667,1.18391570627084,0.326206896551724,3
stan_collapsed,1293.2797541017,1529.86,1570.5,100,30,500,4000,2000,0.932666666666667,1.21008837418258,0.354,1
stan_collapsed,1146.49753136809,1860.09,1904.64,100,30,500,4000,2000,0.937,1.2650451866579,0.306137931034483,2
stan_collapsed,1394.00012985209,1540.69,1579.39,100,30,500,4000,2000,0.928666666666667,1.2213808363465,0.349655172413793,3
mongrel_eigen,4000,0,61.7703373432159,100,30,2,4000,0,0.00533333333333333,0.00331200749271199,0.0689655172413793,1
mongrel_eigen,4000,0,55.6709535121918,100,30,2,4000,0,0.0183333333333333,0.00280751230733205,0.0344827586206897,2
mongrel_eigen,4000,0,58.8552689552307,100,30,2,4000,0,0.00733333333333333,0.00385558370228375,0.0862068965517241,3
mongrel_eigen,4000,0,58.4215357303619,100,30,4,4000,0,0.061,0.00749521388277879,0.0862068965517241,1
mongrel_eigen,4000,0,112.034460783005,100,30,4,4000,0,0.06,0.00530956633608084,0.137931034482759,2
mongrel_eigen,4000,0,63.6586101055145,100,30,4,4000,0,0.091,0.00574666050126359,0.103448275862069,3
mongrel_eigen,4000,0,57.5001399517059,100,30,10,4000,0,0.309,0.0164822619532349,0.193103448275862,1
mongrel_eigen,4000,0,55.4721622467041,100,30,10,4000,0,0.286333333333333,0.0172317682664029,0.2,2
mongrel_eigen,4000,0,107.690789699554,100,30,10,4000,0,0.297333333333333,0.0213379077347007,0.23448275862069,3
mongrel_eigen,4000,0,60.9584972858429,100,30,20,4000,0,0.544666666666667,0.091679428048514,0.363793103448276,1
mongrel_eigen,4000,0,53.1843154430389,100,30,20,4000,0,0.538666666666667,0.113837940710376,0.446551724137931,2
mongrel_eigen,4000,0,53.48774933815,100,30,20,4000,0,0.503,0.0765801756951278,0.310344827586207,3
mongrel_eigen,4000,0,105.541981697083,100,30,50,4000,0,0.761,0.677496578042177,0.553793103448276,1
mongrel_eigen,4000,0,59.8675518035889,100,30,50,4000,0,0.736333333333333,0.629367333055071,0.531034482758621,2
mongrel_eigen,4000,0,55.8316020965576,100,30,50,4000,0,0.735,0.674458906200114,0.512413793103448,3
mongrel_eigen,4000,0,115.125756025314,100,30,75,4000,0,0.816333333333333,0.954224051651963,0.501149425287356,1
mongrel_eigen,4000,0,55.9800026416779,100,30,75,4000,0,0.820333333333333,1.00024882584357,0.48,2
mongrel_eigen,4000,0,58.2041103839874,100,30,75,4000,0,0.817333333333333,1.07012565631107,0.521379310344828,3
mongrel_eigen,4000,0,108.017988204956,100,30,100,4000,0,0.835,1.01751112164294,0.503103448275862,1
mongrel_eigen,4000,0,58.5185072422028,100,30,100,4000,0,0.854666666666667,1.09912410618698,0.451034482758621,2
mongrel_eigen,4000,0,69.690176486969,100,30,100,4000,0,0.852666666666667,1.09340263081669,0.478275862068965,3
mongrel_eigen,4000,0,76.4815697669983,100,30,250,4000,0,0.915333333333333,1.15625804339443,0.473931034482759,1
mongrel_eigen,4000,0,90.8658652305603,100,30,250,4000,0,0.905333333333333,1.08358772019384,0.514758620689655,2
mongrel_eigen,4000,0,73.5036971569061,100,30,250,4000,0,0.896666666666667,1.04713531146237,0.542620689655172,3
mongrel_eigen,4000,0,1337.40236020088,100,30,500,4000,0,0.932666666666667,1.05158662307067,0.603379310344828,1
mongrel_eigen,4000,0,1325.24943184853,100,30,500,4000,0,0.937,1.04964605335185,0.622413793103448,2
mongrel_eigen,4000,0,429.014731168747,100,30,500,4000,0,0.928666666666667,1.06457764654133,0.605448275862069,3
mongrel_cholesky,4000,0,7.79155015945435,100,30,2,4000,0,0.00533333333333333,0.00331750175588166,0.0689655172413793,1
mongrel_cholesky,4000,0,7.27274680137634,100,30,2,4000,0,0.0183333333333333,0.00281206917431234,0.0344827586206897,2
mongrel_cholesky,4000,0,8.15513920783997,100,30,2,4000,0,0.00733333333333333,0.0038537455917336,0.0862068965517241,3
mongrel_cholesky,4000,0,8.13780808448792,100,30,4,4000,0,0.061,0.00748848555281151,0.0862068965517241,1
mongrel_cholesky,4000,0,8.35701775550842,100,30,4,4000,0,0.06,0.00530011725963487,0.129310344827586,2
mongrel_cholesky,4000,0,8.72699952125549,100,30,4,4000,0,0.091,0.00577460051764622,0.0948275862068965,3
mongrel_cholesky,4000,0,10.050639629364,100,30,10,4000,0,0.309,0.0165028066923112,0.193103448275862,1
