model,ESS,burnin_runtime,sample_runtime,sweep_param,sweep_value,total_iter,burnin_iter,percent_zero,lambda_MSE,percent_outside_95CI,random_seed
Stan (uncollapsed),1179.032504,366.77,300.9,N,10,4000,2000,0.033333333,0.137863447,0.096551724,1
Stan (uncollapsed),1512.755981,578.02,477.52,N,10,4000,2000,0.22,0.194083809,0.096551724,2
Stan (uncollapsed),971.2523617,566.48,391.3,N,10,4000,2000,0.043333333,0.295784714,0.310344828,3
Stan (uncollapsed),1204.408238,372.16,267.15,N,20,4000,2000,0.07,0.041411766,0.027586207,1
Stan (uncollapsed),1069.486425,605.1,311.43,N,20,4000,2000,0.16,0.05019359,0.075862069,2
Stan (uncollapsed),1098.243841,545.29,443.68,N,20,4000,2000,0.056666667,0.049340274,0.020689655,3
Stan (uncollapsed),640.7106076,406.96,189.75,N,30,4000,2000,0.064444444,0.026870923,0.055172414,1
Stan (uncollapsed),842.4870837,423.24,278.23,N,30,4000,2000,0.14,0.027941614,0.055172414,2
Stan (uncollapsed),912.3534998,614.21,352.81,N,30,4000,2000,0.057777778,0.029155236,0.027586207,3
Stan (uncollapsed),335.7411616,352.74,256.79,N,50,4000,2000,0.088666667,0.017246278,0.068965517,1
Stan (uncollapsed),645.6499702,681.09,369.29,N,50,4000,2000,0.144,0.014886855,0.062068966,2
Stan (uncollapsed),495.9381914,660.76,490.4,N,50,4000,2000,0.120666667,0.017762241,0.055172414,3
Stan (uncollapsed),219.8513871,555.9,209.63,N,100,4000,2000,0.114,0.00738891,0.089655172,1
Stan (uncollapsed),313.0676701,417.31,181.84,N,100,4000,2000,0.112333333,0.005772883,0.048275862,2
Stan (uncollapsed),204.13379,840.34,534.28,N,100,4000,2000,0.143333333,0.008644762,0.103448276,3
Stan (uncollapsed),213.6164136,1136.69,485.02,N,250,4000,2000,0.107333333,0.002120323,0.089655172,1
Stan (uncollapsed),257.1784045,923.33,590.1,N,250,4000,2000,0.0652,0.001725979,0.055172414,2
Stan (uncollapsed),205.9871118,2386.16,853.75,N,250,4000,2000,0.122266667,0.002634388,0.04137931,3
Stan (uncollapsed),153.8359283,2763.68,1017.54,N,500,4000,2000,0.157,0.001173283,0.048275862,1
Stan (uncollapsed),181.2996632,2730.44,2031.19,N,500,4000,2000,0.159866667,0.00205427,0.124137931,2
Stan (uncollapsed),96.4686665,3753.48,1533.25,N,500,4000,2000,0.124066667,0.001150742,0.04137931,3
Stan (uncollapsed),100.2076943,5045.5,3666.89,N,750,4000,2000,0.149511111,0.000881364,0.055172414,1
Stan (uncollapsed),140.9914954,4728.83,1960.22,N,750,4000,2000,0.097333333,0.00056135,0.006896552,2
Stan (uncollapsed),314.7643118,4999.72,2619.22,N,750,4000,2000,0.074755556,0.000545896,0.04137931,3
Stan (uncollapsed),99.56113931,7920.37,4447.33,N,1000,4000,2000,0.117166667,0.000484634,0.020689655,1
Stan (uncollapsed),161.1015216,8399.26,3346.86,N,1000,4000,2000,0.1126,0.00057767,0.04137931,2
Stan (uncollapsed),161.9956442,7205.4,2978.23,N,1000,4000,2000,0.1003,0.000587866,0.068965517,3
Stan (collapsed),1423.587157,5,5.64,N,10,4000,2000,0.033333333,0.143063335,0.137931034,1
Stan (collapsed),1566.220362,10.57,9.56,N,10,4000,2000,0.22,0.204663766,0.193103448,2
Stan (collapsed),1778.337238,5.65,5.24,N,10,4000,2000,0.043333333,0.299939135,0.310344828,3
Stan (collapsed),1173.750242,15.36,11.89,N,20,4000,2000,0.07,0.040340329,0.027586207,1
Stan (collapsed),887.2238765,20.6,19.53,N,20,4000,2000,0.16,0.051441923,0.124137931,2
Stan (collapsed),1255.563682,14.8,13.69,N,20,4000,2000,0.056666667,0.050218258,0.048275862,3
Stan (collapsed),1018.16549,21.99,14.97,N,30,4000,2000,0.064444444,0.026995114,0.062068966,1
Stan (collapsed),850.8176099,60.55,51.78,N,30,4000,2000,0.14,0.027823605,0.068965517,2
Stan (collapsed),882.5971999,29.44,19.15,N,30,4000,2000,0.057777778,0.029808681,0.048275862,3
Stan (collapsed),298.2645714,63.06,48.24,N,50,4000,2000,0.088666667,0.017083193,0.089655172,1
Stan (collapsed),601.7286378,78.41,83.02,N,50,4000,2000,0.144,0.01555592,0.103448276,2
Stan (collapsed),568.6660968,89.16,74.43,N,50,4000,2000,0.120666667,0.016977744,0.068965517,3
Stan (collapsed),497.2425368,247.83,264.51,N,100,4000,2000,0.114,0.007729788,0.117241379,1
Stan (collapsed),554.4575539,258.03,264.01,N,100,4000,2000,0.112333333,0.005660853,0.068965517,2
Stan (collapsed),291.289343,292.35,257.38,N,100,4000,2000,0.143333333,0.008545301,0.124137931,3
Stan (collapsed),362.6518285,2532.41,2162.07,N,250,4000,2000,0.107333333,0.002071028,0.075862069,1
Stan (collapsed),400.5692768,2281.8,2366.74,N,250,4000,2000,0.0652,0.00170522,0.062068966,2
Stan (collapsed),438.5402044,2817.53,2182.81,N,250,4000,2000,0.122266667,0.002532366,0.062068966,3
Stan (collapsed),209.2553374,20122.1,13891.4,N,500,4000,2000,0.157,0.001164904,0.048275862,1
Stan (collapsed),123.6531309,22561.3,18427,N,500,4000,2000,0.159866667,0.002008228,0.131034483,2
Stan (collapsed),179.1339929,22833.7,16725,N,500,4000,2000,0.124066667,0.001130995,0.04137931,3
