"Parameter" "coord" "covariate" "p2.5" "p25" "p50" "mean" "p75" "p97.5"
"1" "Lambda" "clr_Erysipelotrichi_Erysipelotrichaceae" "CD" -1.39288643611061 -0.925596573554082 -0.70321347872897 -0.706996668302018 -0.482840953633547 -0.0375340283653782
"2" "Lambda" "clr_Clostridia_Lachnospiraceae" "CD" -1.29405738305877 -0.922490855367782 -0.711639814643139 -0.711016062433901 -0.505266802501182 -0.114524025453062
"3" "Lambda" "clr_Betaproteobacteria_Oxalobacteraceae" "CD" -1.81663596470673 -1.27686493124477 -0.996803332989585 -0.993884412220672 -0.699534513107812 -0.203379512241627
"4" "Lambda" "clr_Bacilli_Gemellaceae" "CD" 0.29447217530251 0.802238645605575 1.0517770072417 1.06300099115442 1.31104095232352 1.79377816464338
"5" "Lambda" "clr_Gammaproteobacteria_Enterobacteriaceae" "CD" 0.275726460268713 0.995035827509888 1.36193354005433 1.35862772700124 1.7243749938447 2.43919691646599
"6" "Lambda" "clr_Flavobacteriia_[Weeksellaceae]" "CD" 0.497359619777151 1.12200895416877 1.44112865294222 1.46368495978594 1.80888212055192 2.49206689356454
"7" "Lambda" "clr_Fusobacteriia_Fusobacteriaceae" "CD" 0.47956880846278 1.16420023520647 1.56065108575113 1.55435544316123 1.9420282557666 2.62894863237529
"8" "Lambda" "clr_Clostridia_Christensenellaceae" "CD" -2.66959198861763 -1.94275367325622 -1.57511299411805 -1.57603304319892 -1.21464619519193 -0.51454559422602
"9" "Lambda" "clr_Bacilli_Turicibacteraceae" "CD" -2.75527686691415 -2.00775087033609 -1.62564281756316 -1.62586076674428 -1.24006344469082 -0.483556071122593
"10" "Lambda" "clr_Gammaproteobacteria_Pasteurellaceae" "CD" 0.729294031467794 1.36250808710513 1.68955440775901 1.7033939484662 2.02218539334465 2.73166746221957
"11" "Lambda" "clr_Epsilonproteobacteria_Helicobacteraceae" "CD" 0.670013518041956 1.4204207345082 1.80530427217619 1.81606102450815 2.22662665689254 2.95214070046287
"12" "Lambda" "clr_Betaproteobacteria_Alcaligenaceae" "CD" 1.16287076879663 1.81729718683079 2.17914778829703 2.17262459138782 2.51449819172985 3.19835031205833
"13" "Lambda" "clr_Clostridia_Peptostreptococcaceae" "CD" -3.8920062434384 -3.1271258677355 -2.71308760568427 -2.71168763942195 -2.29759344848758 -1.59638808618262
