model,ESS,burnin_runtime,sample_runtime,N,D,Q,total_iter,burnin_iter,random_seed
mongrel_cholesky,2000,0,0.221009969711304,100,3,5,2000,0,2
mongrel_eigen,2000,0,0.244472026824951,100,3,5,2000,0,2
mongrel_eigen,2000,0,0.740181446075439,100,5,5,2000,0,2
mongrel_cholesky,2000,0,0.631000995635986,100,5,5,2000,0,2
mongrel_eigen,2000,0,2.39984726905823,100,10,5,2000,0,2
mongrel_cholesky,2000,0,1.06914949417114,100,10,5,2000,0,2
mongrel_cholesky,2000,0,3.54931545257568,100,25,5,2000,0,2
mongrel_cholesky,2000,0,9.86959505081177,100,50,5,2000,0,2
mongrel_cholesky,2000,0,22.6322650909424,100,75,5,2000,0,2
mongrel_eigen,2000,0,34.1626198291779,100,25,5,2000,0,2
mongrel_cholesky,2000,0,39.9006414413452,100,100,5,2000,0,2
stan_collapsed,1968.72887289894,49.94,20.13,100,3,5,4000,2000,2
stan_collapsed,2000,60.36,51.98,100,5,5,4000,2000,2
mongrel_eigen,2000,0,4.03612120946248,100,50,5,2000,0,2
stan_collapsed,1956.20940241416,133.13,132.02,100,10,5,4000,2000,2
mongrel_cholesky,2000,0,4.66984815597534,100,250,5,2000,0,2
stan_collapsed,452.839532566265,210.06,110.65,100,25,5,4000,2000,2
mongrel_eigen,2000,0,14.1497593045235,100,75,5,2000,0,2
stan_collapsed,165.734024769338,521.64,436.41,100,50,5,4000,2000,2
mongrel_eigen,2000,0,33.4859634081523,100,100,5,2000,0,2
stan_collapsed,106.87882194036,1256.7,1053.52,100,75,5,4000,2000,2
stan_collapsed,140.463905421912,2243.02,1819.68,100,100,5,4000,2000,2
stan_collapsed,30.6835687213915,10954.2,12012.3,100,250,5,4000,2000,2
stan_collapsed,13.9996031613059,34815,34758.6,100,500,5,4000,2000,2
