model,ESS,burnin_runtime,sample_runtime,N,D,Q,total_iter,burnin_iter,percent_zero,lambda_RMSE,percent_outside_95CI,random_seed
mongrel_eigen,2000,0,0.134026765823364,100,3,5,2000,0,0.01,0.00501825377430835,0.1,2
mongrel_cholesky,2000,0,0.11806321144104,100,3,5,2000,0,0.01,0.00457951819637452,0.2,2
mongrel_cholesky,2000,0,0.372946500778198,100,5,5,2000,0,0.022,0.00442144809761764,0.05,2
mongrel_eigen,2000,0,0.528751373291016,100,5,5,2000,0,0.022,0.00495175677573159,0.05,2
mongrel_cholesky,2000,0,1.09961128234863,100,10,5,2000,0,0.031,0.0026718658157873,0.155555555555556,2
mongrel_eigen,2000,0,2.47061443328857,100,10,5,2000,0,0.031,0.00318454111293054,0.0444444444444444,2
mongrel_cholesky,2000,0,3.72492122650146,100,25,5,2000,0,0.094,0.00519879461143633,0.308333333333333,2
mongrel_cholesky,2000,0,11.877810716629,100,50,5,2000,0,0.1314,0.0060756923483091,0.395918367346939,2
mongrel_eigen,2000,0,33.6325325965881,100,25,5,2000,0,0.094,0.00641963140552565,0.141666666666667,2
mongrel_cholesky,2000,0,24.7993566989899,100,75,5,2000,0,0.189333333333333,0.00952438654511754,0.564864864864865,2
mongrel_cholesky,2000,0,50.7384045124054,100,100,5,2000,0,0.2108,0.00680549797372101,0.468686868686869,2
stan_collapsed,1968.72887289894,52.53,21.43,100,3,5,4000,2000,0.01,0.00455859718454224,0.1,2
stan_collapsed,2000,65.51,53.32,100,5,5,4000,2000,0.022,0.00524815005231274,0.05,2
stan_collapsed,1956.20940241416,115.4,116.77,100,10,5,4000,2000,0.031,0.00300610006956353,0,2
mongrel_eigen,2000,0,4.94390296936035,100,50,5,2000,0,0.1314,0.00766736459613665,0.155102040816327,2
stan_collapsed,452.839532566265,208.58,105.88,100,25,5,4000,2000,0.094,0.00557035762140166,0.0833333333333333,2
mongrel_cholesky,2000,0,9.37515932718913,100,250,5,2000,0,0.33716,0.0149118772210301,0.650602409638554,2
mongrel_eigen,2000,0,13.0419430732727,100,75,5,2000,0,0.189333333333333,0.0121511001689097,0.2,2
stan_collapsed,165.734024769338,495.11,388.03,100,50,5,4000,2000,0.1314,0.00664030339895294,0.0775510204081633,2
mongrel_eigen,2000,0,29.9113961895307,100,100,5,2000,0,0.2108,0.00980994156922298,0.113131313131313,2
stan_collapsed,106.87882194036,1131.04,1048.56,100,75,5,4000,2000,0.189333333333333,0.0101607043291322,0.172972972972973,2
stan_collapsed,140.463905421912,2079.38,1767.76,100,100,5,4000,2000,0.2108,0.00852650976184919,0.0747474747474747,2
stan_collapsed,30.6835687213915,12670.9,13099.2,100,250,5,4000,2000,0.33716,0.0180856169812356,0.0979919678714859,2
mongrel_eigen,2000,0,12.3167313561175,100,250,5,2000,0,0.33716,0.0209480202509741,0.17429718875502,2
