model,ESS,burnin_runtime,sample_runtime,N,D,Q,total_iter,burnin_iter,percent_zero,lambda_MSE,percent_outside_95CI,random_seed
mongrel_eigen,2000,0,0.14137601852417,100,3,5,2000,0,0.01,0.00501825377430835,0.1,2
mongrel_cholesky,2000,0,0.110877990722656,100,3,5,2000,0,0.01,0.00503000011124879,0.2,2
mongrel_cholesky,2000,0,0.394059896469116,100,5,5,2000,0,0.022,0.00493266339260744,0.05,2
mongrel_eigen,2000,0,0.589345932006836,100,5,5,2000,0,0.022,0.00495175677573159,0.05,2
mongrel_eigen,2000,0,2.61517095565796,100,10,5,2000,0,0.031,0.00318454111293054,0.0444444444444444,2
mongrel_cholesky,2000,0,1.32908654212952,100,10,5,2000,0,0.031,0.00318496959241738,0.0888888888888889,2
mongrel_cholesky,2000,0,3.89613890647888,100,25,5,2000,0,0.094,0.00583520311452838,0.2,2
mongrel_cholesky,2000,0,14.8389267921448,100,50,5,2000,0,0.1314,0.00662172048152871,0.302040816326531,2
mongrel_eigen,2000,0,34.2983212471008,100,25,5,2000,0,0.094,0.00641963140552565,0.141666666666667,2
mongrel_cholesky,2000,0,38.4627232551575,100,75,5,2000,0,0.189333333333333,0.0101368120431627,0.451351351351351,2
stan_collapsed,1968.72887289894,52.29,21.26,100,3,5,4000,2000,0.01,0.00455859718454224,0.1,2
mongrel_cholesky,2000,0,1.23372693459193,100,100,5,2000,0,0.2108,0.00739953449580824,0.365656565656566,2
stan_collapsed,2000,67.12,58.34,100,5,5,4000,2000,0.022,0.00524815005231274,0.05,2
stan_collapsed,1956.20940241416,126.68,121.6,100,10,5,4000,2000,0.031,0.00300610006956353,0,2
stan_collapsed,452.839532566265,182.92,98.11,100,25,5,4000,2000,0.094,0.00557035762140166,0.0833333333333333,2
mongrel_eigen,2000,0,4.92907301982244,100,50,5,2000,0,0.1314,0.00766736459613665,0.155102040816327,2
mongrel_eigen,2000,0,13.8946249961853,100,75,5,2000,0,0.189333333333333,0.0121511001689097,0.2,2
stan_collapsed,165.734024769338,549.85,455.68,100,50,5,4000,2000,0.1314,0.00664030339895294,0.0775510204081633,2
mongrel_cholesky,2000,0,16.8404207746188,100,250,5,2000,0,0.33716,0.0156455070679246,0.542971887550201,2
mongrel_eigen,2000,0,29.9072044014931,100,100,5,2000,0,0.2108,0.00980994156922298,0.113131313131313,2
stan_collapsed,106.87882194036,1295.4,1196.34,100,75,5,4000,2000,0.189333333333333,0.0101607043291322,0.172972972972973,2
stan_collapsed,140.463905421912,2090.63,1780.29,100,100,5,4000,2000,0.2108,0.00852650976184919,0.0747474747474747,2
stan_collapsed,30.6835687213915,11955.7,12590.9,100,250,5,4000,2000,0.33716,0.0180856169812356,0.0979919678714859,2
mongrel_eigen,2000,0,9.40098016434246,100,250,5,2000,0,0.33716,0.0209480202509741,0.17429718875502,2
