model,ESS,burnin_runtime,sample_runtime,N,D,Q,total_iter,burnin_iter,percent_zero,lambda_MSE,percent_outside_95CI,random_seed
mongrel_cholesky,2000,0,1.18938517570496,10,30,5,2000,0,0.22,0.195407749487804,0.241379310344828,2
mongrel_eigen,2000,0,1.25670647621155,10,30,5,2000,0,0.22,0.194866662335158,0.227586206896552,2
mongrel_eigen,2000,0,1.67065119743347,20,30,5,2000,0,0.16,0.0471410510235136,0.158620689655172,2
mongrel_cholesky,2000,0,1.32586097717285,20,30,5,2000,0,0.16,0.0443559706403616,0.213793103448276,2
mongrel_cholesky,2000,0,1.75031733512878,30,30,5,2000,0,0.14,0.0247467030163335,0.213793103448276,2
mongrel_eigen,2000,0,2.88626003265381,30,30,5,2000,0,0.14,0.0274570352636142,0.131034482758621,2
mongrel_cholesky,2000,0,2.97496867179871,50,30,5,2000,0,0.144,0.0146549710686804,0.255172413793103,2
mongrel_eigen,2000,0,8.75119042396545,50,30,5,2000,0,0.144,0.0160478638443739,0.16551724137931,2
mongrel_cholesky,2000,0,5.36110019683838,100,30,5,2000,0,0.112333333333333,0.00493600663487075,0.2,2
stan_collapsed,1531.89081065459,10.21,6.95,10,30,5,4000,2000,0.22,0.186102425174446,0.172413793103448,2
mongrel_cholesky,2000,0,30.4573233127594,250,30,5,2000,0,0.0652,0.00166875406200873,0.248275862068966,2
stan_collapsed,1014.54076659249,19.6,17.74,20,30,5,4000,2000,0.16,0.0466336201558971,0.124137931034483,2
mongrel_eigen,2000,0,58.5538074970245,100,30,5,2000,0,0.112333333333333,0.00570897931140172,0.103448275862069,2
stan_collapsed,673.259386959497,39.66,33.64,30,30,5,4000,2000,0.14,0.0274039693724192,0.0827586206896552,2
stan_collapsed,562.145956299364,78.32,76.99,50,30,5,4000,2000,0.144,0.0144313355824058,0.0689655172413793,2
mongrel_cholesky,2000,0,3.19872012535731,500,30,5,2000,0,0.159866666666667,0.00248260927739263,0.524137931034483,2
stan_collapsed,266.867027070791,288.47,239.8,100,30,5,4000,2000,0.112333333333333,0.00559467398318405,0.0689655172413793,2
mongrel_eigen,2000,0,13.0856415828069,250,30,5,2000,0,0.0652,0.00188649513691934,0.103448275862069,2
stan_collapsed,282.907425245897,2201.83,3000.45,250,30,5,4000,2000,0.0652,0.00170788928423956,0.0758620689655172,2
mongrel_eigen,2000,0,1.69661756402916,500,30,5,2000,0,0.159866666666667,0.00277222521119512,0.36551724137931,2
stan_collapsed,93.3269521242033,20659.5,14046.5,500,30,5,4000,2000,0.159866666666667,0.00190267500474886,0.131034482758621,2
