model,ESS,burnin_runtime,sample_runtime,N,D,Q,total_iter,burnin_iter,percent_zero,lambda_MSE,percent_outside_95CI,random_seed
mongrel_cholesky,2000,0,5.24791622161865,100,30,2,2000,0,0.0183333333333333,0.00236709482654618,0.0862068965517241,2
mongrel_cholesky,2000,0,6.02825975418091,100,30,3,2000,0,0.12,0.00458953841700434,0.160919540229885,2
mongrel_cholesky,2000,0,6.12063312530518,100,30,5,2000,0,0.112333333333333,0.00493600663487075,0.2,2
mongrel_cholesky,2000,0,7.06083297729492,100,30,10,2000,0,0.286333333333333,0.014401244667754,0.313793103448276,2
mongrel_cholesky,2000,0,7.17885828018188,100,30,20,2000,0,0.538666666666667,0.101912644095658,0.544827586206897,2
mongrel_cholesky,2000,0,9.79885458946228,100,30,50,2000,0,0.736333333333333,0.62758487508286,0.533793103448276,2
mongrel_cholesky,2000,0,12.8365125656128,100,30,75,2000,0,0.820333333333333,1.05465961640413,0.416091954022988,2
mongrel_cholesky,2000,0,13.1097254753113,100,30,100,2000,0,0.854666666666667,1.24651360092195,0.314137931034483,2
mongrel_cholesky,2000,0,15.4012229442596,100,30,250,2000,0,0.905333333333333,1.09939181048458,0.498896551724138,2
mongrel_cholesky,2000,0,16.8801763057709,100,30,500,2000,0,0.937,1.05792091630986,0.606689655172414,2
mongrel_eigen,2000,0,52.3480761051178,100,30,2,2000,0,0.0183333333333333,0.00265980777497127,0.0517241379310345,2
mongrel_eigen,2000,0,57.1694920063019,100,30,3,2000,0,0.12,0.00559605958432501,0.103448275862069,2
mongrel_eigen,2000,0,1.03731691837311,100,30,5,2000,0,0.112333333333333,0.00570897931140172,0.103448275862069,2
mongrel_eigen,2000,0,59.6211135387421,100,30,20,2000,0,0.538666666666667,0.106356274745995,0.453448275862069,2
mongrel_eigen,2000,0,56.096928358078,100,30,50,2000,0,0.736333333333333,0.629329376035677,0.528965517241379,2
mongrel_eigen,2000,0,1.05476067463557,100,30,10,2000,0,0.286333333333333,0.0162028509168257,0.189655172413793,2
mongrel_eigen,2000,0,54.8637444972992,100,30,75,2000,0,0.820333333333333,0.990784581132935,0.51448275862069,2
mongrel_eigen,2000,0,58.625675201416,100,30,100,2000,0,0.854666666666667,1.08864624975293,0.488965517241379,2
mongrel_eigen,2000,0,1.10986289580663,100,30,250,2000,0,0.905333333333333,1.09329330282914,0.499310344827586,2
mongrel_eigen,2000,0,1.18838022549947,100,30,500,2000,0,0.937,1.0567684353718,0.603172413793103,2
stan_collapsed,361.603489037674,161.31,119.11,100,30,2,4000,2000,0.0183333333333333,0.00265145158048347,0.0344827586206897,2
stan_collapsed,266.867027070791,259.2,229.11,100,30,5,4000,2000,0.112333333333333,0.00559467398318405,0.0689655172413793,2
stan_collapsed,136.812010943493,265.7,223.55,100,30,3,4000,2000,0.12,0.00544739887543889,0.0689655172413793,2
stan_collapsed,123.879485841902,421.53,235.64,100,30,10,4000,2000,0.286333333333333,0.012275827252929,0.0482758620689655,2
stan_collapsed,422.03884696442,855.75,672.94,100,30,20,4000,2000,0.538666666666667,0.0745576425531882,0.206896551724138,2
stan_collapsed,799.188175638182,1516.08,1571.14,100,30,50,4000,2000,0.736333333333333,0.614547117080031,0.341379310344828,2
stan_collapsed,569.421542029741,1550.61,1570.72,100,30,75,4000,2000,0.820333333333333,1.03429573445189,0.305287356321839,2
stan_collapsed,1108.05942888916,1536.06,1567.24,100,30,500,4000,2000,0.937,1.28505608597348,0.291310344827586,2
stan_collapsed,613.676980694604,1687.39,1719.85,100,30,100,4000,2000,0.854666666666667,1.27517925122607,0.282413793103448,2
stan_collapsed,1038.39890117344,1675.04,1719.3,100,30,250,4000,2000,0.905333333333333,1.3037180552112,0.271034482758621,2
