model,ESS,burnin_runtime,sample_runtime,N,D,Q,total_iter,burnin_iter,percent_zero,lambda_MSE,percent_outside_95CI,random_seed
mongrel_eigen,2000,0,0.334949493408203,100,3,5,2000,0,0,0.00385077589288246,0.1,1
mongrel_cholesky_partial,2000,0,0.348763465881348,100,3,5,2000,0,0,0.00391698124893719,0.1,1
mongrel_cholesky_partial,2000,0,0.554588317871094,100,5,5,2000,0,0.008,0.00372632189135829,0,1
mongrel_eigen,2000,0,0.634184598922729,100,5,5,2000,0,0.008,0.00247492140075375,0,1
mongrel_cholesky_partial,2000,0,1.09093403816223,100,10,5,2000,0,0.023,0.0109295604088817,0,1
mongrel_eigen,2000,0,2.76769232749939,100,10,5,2000,0,0.023,0.00445327309133718,0,1
mongrel_cholesky_partial,2000,0,2.37175369262695,100,25,5,2000,0,0.1296,0.201672037150192,0,1
mongrel_cholesky_partial,2000,0,8.44523024559021,100,50,5,2000,0,0.1444,6.51459320231456,0,1
mongrel_cholesky_partial,2000,0,14.7630059719086,100,75,5,2000,0,0.2012,0.682551068346217,0,1
mongrel_eigen,2000,0,31.9596059322357,100,25,5,2000,0,0.1296,0.00999483458313236,0.158333333333333,1
mongrel_cholesky_partial,2000,0,26.1713726520538,100,100,5,2000,0,0.2258,2.51212780088,0,1
stan_collapsed,1942.05056156026,51.77,37.8,100,3,5,4000,2000,0,0.00395965358726549,0.1,1
stan_collapsed,1940.21125124398,70.59,45,100,5,5,4000,2000,0.008,0.00232953076095887,0,1
mongrel_eigen,2000,0,5.0267157793045,100,50,5,2000,0,0.1444,0.00963893192123701,0.13469387755102,1
stan_collapsed,1549.26584637037,154.41,190.48,100,10,5,4000,2000,0.023,0.00415229764825125,0,1
mongrel_cholesky_partial,2000,0,5.36721231937408,100,250,5,2000,0,0.32712,9.65846153128074,0,1
stan_collapsed,469.81116730971,266.82,228.07,100,25,5,4000,2000,0.1296,0.0085805546902068,0.0833333333333333,1
mongrel_eigen,2000,0,16.5404693841934,100,75,5,2000,0,0.2012,0.0104675448258815,0.0972972972972973,1
stan_collapsed,184.166755577847,506.65,635.58,100,50,5,4000,2000,0.1444,0.00865890505509824,0.0857142857142857,1
mongrel_eigen,2000,0,37.1449164470037,100,100,5,2000,0,0.2258,0.0175894250323413,0.21010101010101,1
mongrel_cholesky_partial,2000,0,37.5873207251231,100,500,5,2000,0,0.42768,6.11436832475846,0.000400801603206413,1
stan_collapsed,132.354697191507,1300.32,1521.7,100,75,5,4000,2000,0.2012,0.00982686870340072,0.0594594594594595,1
stan_collapsed,103.324018815779,2423.5,1906.3,100,100,5,4000,2000,0.2258,0.0148498245868086,0.125252525252525,1
stan_collapsed,46.1876916967994,11056.5,10607.9,100,250,5,4000,2000,0.32712,0.0185372155838965,0.0947791164658635,1
mongrel_eigen,2000,0,10.153198597961,100,250,5,2000,0,0.32712,0.0235620239825664,0.179919678714859,1
mongrel_cholesky,2000,0,0.277109146118164,100,3,5,2000,0,0,0.00388031956119653,0.1,1
mongrel_cholesky,2000,0,1.47877264022827,100,10,5,2000,0,0.023,0.00444460048046451,0.0444444444444444,1
mongrel_cholesky,2000,0,0.790469646453857,100,5,5,2000,0,0.008,0.00245819048432309,0,1
mongrel_cholesky,2000,0,4.81685352325439,100,25,5,2000,0,0.1296,0.00996769796254745,0.158333333333333,1
mongrel_cholesky,2000,0,17.1156234741211,100,50,5,2000,0,0.1444,0.00961904788636567,0.146938775510204,1
mongrel_cholesky,2000,0,39.2873423099518,100,75,5,2000,0,0.2012,0.0104770019525913,0.0945945945945946,1
mongrel_cholesky,2000,0,1.27750082413356,100,100,5,2000,0,0.2258,0.0175399417951608,0.21010101010101,1
mongrel_cholesky,2000,0,26.4162307421366,100,250,5,2000,0,0.32712,0.0235128722427667,0.178313253012048,1
stan_uncollapsed,2000,6.03,4.41,100,3,5,4000,2000,0,0.00397161570853968,0.1,1
stan_uncollapsed,2000,8.6,5.43,100,5,5,4000,2000,0.008,0.00234989553414212,0,1
stan_uncollapsed,1294.72426472507,38.13,49.11,100,10,5,4000,2000,0.023,0.00419512865048762,0,1
stan_uncollapsed,418.743808524923,356.36,162.75,100,25,5,4000,2000,0.1296,0.00879232697730624,0.075,1
stan_uncollapsed,115.529443432399,2801.58,1685.03,100,50,5,4000,2000,0.1444,0.00834062453416319,0.0653061224489796,1
mongrel_cholesky,2000,0,2.13151875866784,100,500,5,2000,0,0.42768,0.076693381444439,0.364729458917836,1
mongrel_eigen,2000,0,0.375603199005127,100,3,5,2000,0,0.01,0.0055606379738943,0,2
mongrel_cholesky,2000,0,0.260637521743774,100,3,5,2000,0,0.01,0.00556803982763877,0.1,2
mongrel_cholesky_partial,2000,0,0.271266460418701,100,3,5,2000,0,0.01,0.00669024670925223,0,2
mongrel_cholesky_partial,2000,0,0.491061687469482,100,5,5,2000,0,0.022,0.00853217252133148,0,2
mongrel_eigen,2000,0,0.691906213760376,100,5,5,2000,0,0.022,0.00544657871413983,0.05,2
mongrel_cholesky,2000,0,0.431856870651245,100,5,5,2000,0,0.022,0.00540949450246042,0.05,2
mongrel_cholesky,2000,0,1.28374338150024,100,10,5,2000,0,0.031,0.00382603783903703,0.0666666666666667,2
mongrel_eigen,2000,0,2.46689796447754,100,10,5,2000,0,0.031,0.00382390600365526,0.0666666666666667,2
mongrel_cholesky_partial,2000,0,1.18854022026062,100,10,5,2000,0,0.031,0.0161116916757365,0,2
stan_uncollapsed,2000,4.95,1.83,100,3,5,4000,2000,0.01,0.00501556935290725,0,2
mongrel_cholesky_partial,2000,0,2.19823050498962,100,25,5,2000,0,0.094,0.139456134395134,0,2
mongrel_cholesky,2000,0,3.80947279930115,100,25,5,2000,0,0.094,0.00684344123202253,0.133333333333333,2
stan_uncollapsed,1959.51504389832,8.04,5.24,100,5,5,4000,2000,0.022,0.00574066771684145,0.05,2
mongrel_cholesky_partial,2000,0,6.15270590782166,100,50,5,2000,0,0.1314,0.171402261310429,0,2
mongrel_cholesky,2000,0,15.9141683578491,100,50,5,2000,0,0.1314,0.008108389592199,0.183673469387755,2
mongrel_cholesky_partial,2000,0,12.9542324542999,100,75,5,2000,0,0.189333333333333,1.12129195760263,0,2
mongrel_eigen,2000,0,33.6468508243561,100,25,5,2000,0,0.094,0.00680730562021734,0.125,2
mongrel_cholesky,2000,0,38.9997887611389,100,75,5,2000,0,0.189333333333333,0.0127586330596143,0.208108108108108,2
mongrel_cholesky_partial,2000,0,30.3420503139496,100,100,5,2000,0,0.2108,28.3232365004738,0,2
stan_uncollapsed,1947.63199215635,30.71,26.71,100,10,5,4000,2000,0.031,0.00347621403866423,0,2
stan_collapsed,1980.41368398342,64.91,23.36,100,3,5,4000,2000,0.01,0.00501173048246009,0,2
stan_collapsed,1980.23787254455,60.51,46.33,100,5,5,4000,2000,0.022,0.00574707751412437,0.05,2
mongrel_cholesky,2000,0,1.41881567637126,100,100,5,2000,0,0.2108,0.0102325527643011,0.111111111111111,2
stan_collapsed,1947.56471156246,122.37,119.36,100,10,5,4000,2000,0.031,0.00349380628190329,0,2
mongrel_eigen,2000,0,4.68926217953364,100,50,5,2000,0,0.1314,0.0080962880809377,0.171428571428571,2
stan_collapsed,486.214730957934,196.2,111.41,100,25,5,4000,2000,0.094,0.00578950238017527,0.075,2
mongrel_cholesky_partial,2000,0,6.37033143043518,100,250,5,2000,0,0.33716,9.54271798234474,0,2
stan_uncollapsed,607.784491215922,303.57,156.44,100,25,5,4000,2000,0.094,0.00584179652906602,0.0416666666666667,2
mongrel_eigen,2000,0,13.2138528545698,100,75,5,2000,0,0.189333333333333,0.012744513702438,0.208108108108108,2
