model,ESS,burnin_runtime,sample_runtime,N,D,Q,total_iter,burnin_iter,percent_zero,lambda_MSE,percent_outside_95CI,random_seed
mongrel_eigen,2000,0,1.99669480323792,10,30,5,2000,0,0.0333333333333333,0.147874609368227,0.179310344827586,1
mongrel_cholesky_partial,2000,0,1.07802486419678,10,30,5,2000,0,0.0333333333333333,0.168577073752397,0.131034482758621,1
mongrel_eigen,2000,0,1.61764192581177,20,30,5,2000,0,0.07,0.0399489649062969,0.0275862068965517,1
mongrel_cholesky_partial,2000,0,1.35587596893311,20,30,5,2000,0,0.07,0.196528121374721,0,1
mongrel_eigen,2000,0,3.02587294578552,30,30,5,2000,0,0.0644444444444444,0.0276615657694211,0.0689655172413793,1
mongrel_cholesky_partial,2000,0,2.81898903846741,30,30,5,2000,0,0.0644444444444444,0.254721668533608,0.0206896551724138,1
mongrel_cholesky_partial,2000,0,1.86434650421143,50,30,5,2000,0,0.0886666666666667,0.130171888532424,0.0137931034482759,1
stan_collapsed,1423.58715725975,5,5.64,10,30,5,4000,2000,0.0333333333333333,0.14306333465852,0.137931034482759,1
mongrel_eigen,2000,0,7.81803941726685,50,30,5,2000,0,0.0886666666666667,0.0178297267084034,0.117241379310345,1
mongrel_cholesky_partial,2000,0,3.00602984428406,100,30,5,2000,0,0.114,0.578878877617474,0,1
stan_collapsed,1173.75024207088,15.36,11.89,20,30,5,4000,2000,0.07,0.0403403289295243,0.0275862068965517,1
mongrel_cholesky_partial,2000,0,11.519210100174,250,30,5,2000,0,0.107333333333333,0.925426641758097,0,1
stan_collapsed,1018.16548983878,21.99,14.97,30,30,5,4000,2000,0.0644444444444444,0.0269951138746561,0.0620689655172414,1
mongrel_cholesky_partial,2000,0,36.2559680938721,500,30,5,2000,0,0.157,2.13257383518508,0,1
mongrel_eigen,2000,0,59.9232497215271,100,30,5,2000,0,0.114,0.0089082367251132,0.172413793103448,1
mongrel_cholesky_partial,2000,0,1.28326553106308,750,30,5,2000,0,0.149511111111111,0.143174669654126,0,1
stan_collapsed,298.264571363334,63.06,48.24,50,30,5,4000,2000,0.0886666666666667,0.0170831930823651,0.0896551724137931,1
mongrel_cholesky_partial,2000,0,2.0143282810847,1000,30,5,2000,0,0.117166666666667,0.0720757703077765,0,1
stan_collapsed,497.242536842705,247.83,264.51,100,30,5,4000,2000,0.114,0.00772978768874184,0.117241379310345,1
mongrel_eigen,2000,0,13.4610259413719,250,30,5,2000,0,0.107333333333333,0.0022521671219604,0.110344827586207,1
stan_collapsed,362.651828489181,2532.41,2162.07,250,30,5,4000,2000,0.107333333333333,0.00207102827694555,0.0758620689655172,1
mongrel_eigen,2000,0,1.85212203873528,500,30,5,2000,0,0.157,0.00137038327601291,0.0896551724137931,1
mongrel_eigen,2000,0,6.07636152499252,750,30,5,2000,0,0.149511111111111,0.00166287048510908,0.36551724137931,1
stan_collapsed,209.255337407168,20122.1,13891.4,500,30,5,4000,2000,0.157,0.00116490365475986,0.0482758620689655,1
mongrel_eigen,2000,0,15.0701450591617,1000,30,5,2000,0,0.117166666666667,0.00092106333081338,0.317241379310345,1
mongrel_cholesky,2000,0,0.866974592208862,10,30,5,2000,0,0.0333333333333333,0.14738032249519,0.172413793103448,1
mongrel_cholesky,2000,0,1.23572754859924,20,30,5,2000,0,0.07,0.039910481087753,0.0275862068965517,1
mongrel_cholesky,2000,0,3.47522068023682,30,30,5,2000,0,0.0644444444444444,0.0275976951460803,0.0758620689655172,1
mongrel_cholesky,2000,0,2.91287732124329,50,30,5,2000,0,0.0886666666666667,0.0178164618494033,0.124137931034483,1
mongrel_cholesky,2000,0,5.67121911048889,100,30,5,2000,0,0.114,0.00887133307597094,0.172413793103448,1
mongrel_cholesky,2000,0,40.2226819992065,250,30,5,2000,0,0.107333333333333,0.00224086165465808,0.117241379310345,1
mongrel_cholesky,2000,0,2.90074346065521,500,30,5,2000,0,0.157,0.00137095913778873,0.0827586206896552,1
mongrel_cholesky,2000,0,9.35769047339757,750,30,5,2000,0,0.149511111111111,0.00165311373897009,0.36551724137931,1
mongrel_cholesky,2000,0,17.5768887241681,1000,30,5,2000,0,0.117166666666667,0.000916734191722611,0.296551724137931,1
stan_uncollapsed,335.741161637805,352.74,256.79,50,30,5,4000,2000,0.0886666666666667,0.0172462779124988,0.0689655172413793,1
stan_uncollapsed,640.71060758841,406.96,189.75,30,30,5,4000,2000,0.0644444444444444,0.02687092318377,0.0551724137931034,1
stan_uncollapsed,1204.40823750072,372.16,267.15,20,30,5,4000,2000,0.07,0.0414117664879163,0.0275862068965517,1
stan_uncollapsed,1179.03250352967,366.77,300.9,10,30,5,4000,2000,0.0333333333333333,0.137863446539777,0.096551724137931,1
stan_uncollapsed,219.851387141645,555.9,209.63,100,30,5,4000,2000,0.114,0.00738890991369049,0.0896551724137931,1
stan_uncollapsed,213.616413579673,1136.69,485.02,250,30,5,4000,2000,0.107333333333333,0.00212032268967239,0.0896551724137931,1
