model,ESS,burnin_runtime,sample_runtime,N,D,Q,total_iter,burnin_iter,percent_zero,lambda_MSE,percent_outside_95CI,random_seed
mongrel_cholesky_partial,2000,0,2.09017515182495,100,30,2,2000,0,0.00533333333333333,0.00461721304244764,0,1
mongrel_cholesky_partial,2000,0,2.27548956871033,100,30,4,2000,0,0.061,0.0287876438247132,0.00862068965517241,1
mongrel_cholesky_partial,2000,0,4.67519092559814,100,30,10,2000,0,0.309,90.4798896538021,0,1
mongrel_cholesky_partial,2000,0,4.85842180252075,100,30,20,2000,0,0.544666666666667,17998.7255901363,0,1
mongrel_cholesky_partial,2000,0,7.02151966094971,100,30,50,2000,0,0.761,1562022712.81772,0,1
mongrel_cholesky_partial,2000,0,9.92251801490784,100,30,75,2000,0,0.816333333333333,39173296750.3287,0,1
mongrel_cholesky_partial,2000,0,9.14174699783325,100,30,100,2000,0,0.835,512853649214.062,0,1
mongrel_eigen,2000,0,57.7623703479767,100,30,2,2000,0,0.00533333333333333,0.00332219077856825,0.0689655172413793,1
mongrel_cholesky_partial,2000,0,13.3856544494629,100,30,250,2000,0,0.915333333333333,1193018597.91696,0,1
mongrel_eigen,2000,0,1.05695825020472,100,30,4,2000,0,0.061,0.00749359656217613,0.0862068965517241,1
mongrel_eigen,2000,0,1.02224558194478,100,30,10,2000,0,0.309,0.0164690487053185,0.189655172413793,1
mongrel_eigen,2000,0,56.5031957626343,100,30,20,2000,0,0.544666666666667,0.0915359346800094,0.36551724137931,1
mongrel_cholesky_partial,2000,0,18.2558696269989,100,30,500,2000,0,0.932666666666667,196795.736772859,0,1
mongrel_eigen,2000,0,55.9095301628113,100,30,50,2000,0,0.761,0.677258791214809,0.556551724137931,1
mongrel_eigen,2000,0,53.7023227214813,100,30,75,2000,0,0.816333333333333,0.954506640374426,0.500689655172414,1
mongrel_eigen,2000,0,1.06612882614136,100,30,100,2000,0,0.835,1.01929617159029,0.503448275862069,1
mongrel_eigen,2000,0,1.10937399466832,100,30,250,2000,0,0.915333333333333,1.15642829721139,0.472551724137931,1
mongrel_eigen,2000,0,1.20374583005905,100,30,500,2000,0,0.932666666666667,1.05132765269493,0.604896551724138,1
stan_collapsed,913.01333926494,137.88,162.14,100,30,2,4000,2000,0.00533333333333333,0.0030500314556988,0.0344827586206897,1
