model,ESS,burnin_runtime,sample_runtime,N,D,Q,total_iter,burnin_iter,random_seed
mongrel_eigen,2000,0,1.3106963634491,10,30,5,2000,0,2
mongrel_cholesky,2000,0,1.34739470481873,10,30,5,2000,0,2
mongrel_eigen,2000,0,1.95260810852051,20,30,5,2000,0,2
mongrel_cholesky,2000,0,1.39279294013977,20,30,5,2000,0,2
mongrel_cholesky,2000,0,1.96264839172363,30,30,5,2000,0,2
mongrel_eigen,2000,0,3.29572033882141,30,30,5,2000,0,2
mongrel_cholesky,2000,0,2.21526336669922,50,30,5,2000,0,2
mongrel_cholesky,2000,0,4.45082354545593,100,30,5,2000,0,2
mongrel_eigen,2000,0,7.8369665145874,50,30,5,2000,0,2
stan_collapsed,1531.89081065459,10.78,7.67,10,30,5,4000,2000,2
mongrel_cholesky,2000,0,20.4460511207581,250,30,5,2000,0,2
stan_collapsed,1014.54076659249,20.83,19.73,20,30,5,4000,2000,2
mongrel_eigen,2000,0,56.9257318973541,100,30,5,2000,0,2
stan_collapsed,673.259386959497,39.44,34.18,30,30,5,4000,2000,2
mongrel_cholesky,2000,0,1.32443913618724,500,30,5,2000,0,2
stan_collapsed,562.145956299364,84.64,80.52,50,30,5,4000,2000,2
mongrel_cholesky,2000,0,2.7773442308108,750,30,5,2000,0,2
mongrel_cholesky,2000,0,5.05632342100143,1000,30,5,2000,0,2
stan_collapsed,266.867027070791,274.91,251.9,100,30,5,4000,2000,2
mongrel_eigen,2000,0,16.197515197595,250,30,5,2000,0,2
stan_collapsed,282.907425245897,2302.53,3229.43,250,30,5,4000,2000,2
mongrel_eigen,2000,0,2.11454246593846,500,30,5,2000,0,2
mongrel_eigen,2000,0,6.34074229717255,750,30,5,2000,0,2
stan_collapsed,93.3269521242033,22517.9,15452.1,500,30,5,4000,2000,2
mongrel_eigen,2000,0,14.9963395717409,1000,30,5,2000,0,2
