model,ESS,burnin_runtime,sample_runtime,N,D,Q,total_iter,burnin_iter,random_seed
mongrel_cholesky,2000,0,3.66746187210083,100,30,2,2000,0,2
mongrel_cholesky,2000,0,4.16020631790161,100,30,3,2000,0,2
mongrel_cholesky,2000,0,4.04342603683472,100,30,5,2000,0,2
mongrel_cholesky,2000,0,5.00299978256226,100,30,10,2000,0,2
mongrel_cholesky,2000,0,5.59387445449829,100,30,20,2000,0,2
mongrel_cholesky,2000,0,10.0366096496582,100,30,50,2000,0,2
mongrel_cholesky,2000,0,7.88730001449585,100,30,100,2000,0,2
mongrel_cholesky,2000,0,10.9229114055634,100,30,75,2000,0,2
mongrel_cholesky,2000,0,13.8860523700714,100,30,250,2000,0,2
mongrel_cholesky,2000,0,22.2501194477081,100,30,500,2000,0,2
mongrel_eigen,2000,0,58.4349436759949,100,30,2,2000,0,2
mongrel_eigen,2000,0,51.5242502689362,100,30,10,2000,0,2
mongrel_eigen,2000,0,53.6595118045807,100,30,20,2000,0,2
mongrel_eigen,2000,0,1.052377084891,100,30,3,2000,0,2
mongrel_eigen,2000,0,1.04940793514252,100,30,5,2000,0,2
mongrel_eigen,2000,0,56.2870972156525,100,30,50,2000,0,2
mongrel_eigen,2000,0,1.37034350236257,100,30,250,2000,0,2
mongrel_eigen,2000,0,1.52701660394669,100,30,500,2000,0,2
stan_collapsed,361.603489037674,157.43,113.49,100,30,2,4000,2000,2
stan_collapsed,266.867027070791,278.37,238.63,100,30,5,4000,2000,2
stan_collapsed,136.812010943493,308.1,247.82,100,30,3,4000,2000,2
stan_collapsed,123.879485841902,382.06,221.5,100,30,10,4000,2000,2
stan_collapsed,422.03884696442,909.06,707.59,100,30,20,4000,2000,2
stan_collapsed,613.676980694604,2165.7,2243.81,100,30,100,4000,2000,2
stan_collapsed,1038.39890117344,2210.7,2234.56,100,30,250,4000,2000,2
stan_collapsed,799.188175638182,2211.34,2291.38,100,30,50,4000,2000,2
stan_collapsed,1108.05942888916,2246.19,2316.94,100,30,500,4000,2000,2
stan_collapsed,569.421542029741,2282.26,2243.76,100,30,75,4000,2000,2
