model,sweep_param,sweep_value,sd_RMSE
stan_collapsed,N,1,0
stan_uncollapsed,N,1,0.0139888081344147
stan_collapsed_variationalbayes_meanfield,N,1,0.0113232673272711
mongrel_cholesky,N,1,0.00961651300786835
mongrel_cholesky_MAP,N,1,0.00931632194025107
conjugate_linear_model,N,1,0.021126994525208
stan_uncollapsed,N,1,0.0273592461290515
stan_collapsed_variationalbayes_meanfield,N,1,0.0102215762624069
mongrel_cholesky,N,1,0.0137183088038329
mongrel_cholesky_MAP,N,1,0.0137554908272236
conjugate_linear_model,N,1,0.0254153953782596
stan_uncollapsed,N,1,0.0156104797266168
stan_collapsed_variationalbayes_meanfield,N,1,0.0133850361191933
mongrel_cholesky,N,1,0.0099747421611162
mongrel_cholesky_MAP,N,1,0.00941929536021094
conjugate_linear_model,N,1,0.0290914079121124
stan_collapsed,N,3,0
stan_uncollapsed,N,3,0.0241397493952334
stan_collapsed_variationalbayes_meanfield,N,3,0.0152197256951433
mongrel_cholesky,N,3,0.0143401285109337
mongrel_cholesky_MAP,N,3,0.0117675759342051
conjugate_linear_model,N,3,0.0478899220008791
stan_uncollapsed,N,3,0.0328091934459504
stan_collapsed_variationalbayes_meanfield,N,3,0.0233768839555866
mongrel_cholesky,N,3,0.0214341699844632
mongrel_cholesky_MAP,N,3,0.0182898599800067
conjugate_linear_model,N,3,0.0516994369944149
stan_uncollapsed,N,3,0.022674006554697
stan_collapsed_variationalbayes_meanfield,N,3,0.0136949563248282
mongrel_cholesky,N,3,0.0129117161817493
mongrel_cholesky_MAP,N,3,0.0122134507133784
conjugate_linear_model,N,3,0.0363384272599495
stan_collapsed,N,5,0
stan_uncollapsed,N,5,0.0210930641651689
stan_collapsed_variationalbayes_meanfield,N,5,0.0112795828756185
mongrel_cholesky,N,5,0.0117703943278681
mongrel_cholesky_MAP,N,5,0.00989195625760217
conjugate_linear_model,N,5,0.0330318104441201
stan_uncollapsed,N,5,0.0332251604829875
stan_collapsed_variationalbayes_meanfield,N,5,0.025364026845844
mongrel_cholesky,N,5,0.0135167303251272
mongrel_cholesky_MAP,N,5,0.0133632690308107
conjugate_linear_model,N,5,0.0396111118875449
stan_uncollapsed,N,5,0.0254148263414822
stan_collapsed_variationalbayes_meanfield,N,5,0.0113486168735276
mongrel_cholesky,N,5,0.00927838558818044
mongrel_cholesky_MAP,N,5,0.0085019892763665
conjugate_linear_model,N,5,0.0241820418011514
stan_collapsed,N,10,0
stan_uncollapsed,N,10,0.0166861956920046
stan_collapsed_variationalbayes_meanfield,N,10,0.0223246929295989
mongrel_cholesky,N,10,0.00762648592799235
mongrel_cholesky_MAP,N,10,0.00681742904456843
conjugate_linear_model,N,10,0.0250591124852105
stan_uncollapsed,N,10,0.0401855200009646
stan_collapsed_variationalbayes_meanfield,N,10,0.0598395953196498
mongrel_cholesky,N,10,0.0160481966808785
mongrel_cholesky_MAP,N,10,0.015078375638875
conjugate_linear_model,N,10,0.0451120924152113
stan_uncollapsed,N,10,0.0153340258016229
stan_collapsed_variationalbayes_meanfield,N,10,0.0184657887865007
mongrel_cholesky,N,10,0.00858231894674096
mongrel_cholesky_MAP,N,10,0.00847037153452777
conjugate_linear_model,N,10,0.0275490704374554
stan_collapsed,N,20,0
stan_uncollapsed,N,20,0.00842441243252727
stan_collapsed_variationalbayes_meanfield,N,20,0.0244139156770016
mongrel_cholesky,N,20,0.00513671288535641
mongrel_cholesky_MAP,N,20,0.00518290595186085
conjugate_linear_model,N,20,0.0404146439032536
stan_uncollapsed,N,20,0.00983280160732954
stan_collapsed_variationalbayes_meanfield,N,20,0.0374328754807514
mongrel_cholesky,N,20,0.00693880166236462
mongrel_cholesky_MAP,N,20,0.00698203405608303
conjugate_linear_model,N,20,0.0249778811992169
stan_uncollapsed,N,20,0.00772040198948722
stan_collapsed_variationalbayes_meanfield,N,20,0.0221800340176804
mongrel_cholesky,N,20,0.00448276069907222
mongrel_cholesky_MAP,N,20,0.00415598392497171
conjugate_linear_model,N,20,0.0164063585173341
stan_collapsed,N,30,0
stan_uncollapsed,N,30,0.00590482173781926
stan_collapsed_variationalbayes_meanfield,N,30,0.0199483661857603
mongrel_cholesky,N,30,0.00442502674999603
mongrel_cholesky_MAP,N,30,0.00414848965249152
conjugate_linear_model,N,30,0.0279548282537398
stan_uncollapsed,N,30,0.00716012368461796
stan_collapsed_variationalbayes_meanfield,N,30,0.0355716262940802
mongrel_cholesky,N,30,0.00535719339550448
mongrel_cholesky_MAP,N,30,0.00516001255606546
conjugate_linear_model,N,30,0.0270025269407749
stan_uncollapsed,N,30,0.00656261795333657
stan_collapsed_variationalbayes_meanfield,N,30,0.0233693718107291
mongrel_cholesky,N,30,0.00424970689039381
mongrel_cholesky_MAP,N,30,0.00421532389723353
conjugate_linear_model,N,30,0.0121668167460381
stan_collapsed,N,50,0
stan_uncollapsed,N,50,0.00506964603659957
stan_collapsed_variationalbayes_meanfield,N,50,0.0251361508704566
mongrel_cholesky,N,50,0.00437950235722988
mongrel_cholesky_MAP,N,50,0.00415381298725077
conjugate_linear_model,N,50,0.0168522028736616
stan_uncollapsed,N,50,0.00506870126053448
stan_collapsed_variationalbayes_meanfield,N,50,0.0281001928186629
mongrel_cholesky,N,50,0.00575932726455843
mongrel_cholesky_MAP,N,50,0.00573387402338807
conjugate_linear_model,N,50,0.0223467462729149
stan_uncollapsed,N,50,0.0051059824927248
stan_collapsed_variationalbayes_meanfield,N,50,0.028980272130959
mongrel_cholesky,N,50,0.00470791862496125
mongrel_cholesky_MAP,N,50,0.00487308961818803
conjugate_linear_model,N,50,0.0208617062653413
stan_collapsed,N,100,0
stan_uncollapsed,N,100,0.00313768869839986
stan_collapsed_variationalbayes_meanfield,N,100,0.0159657269650043
mongrel_cholesky,N,100,0.00287128331393244
mongrel_cholesky_MAP,N,100,0.00283134262362796
conjugate_linear_model,N,100,0.0190894169516896
stan_uncollapsed,N,100,0.00205617317722461
stan_collapsed_variationalbayes_meanfield,N,100,0.0143361792166585
mongrel_cholesky,N,100,0.00315679265306749
mongrel_cholesky_MAP,N,100,0.00302205970217825
conjugate_linear_model,N,100,0.0206973442417852
stan_uncollapsed,N,100,0.00364981655039848
stan_collapsed_variationalbayes_meanfield,N,100,0.0144049434675556
mongrel_cholesky,N,100,0.00442321491040199
mongrel_cholesky_MAP,N,100,0.00441111990671443
conjugate_linear_model,N,100,0.0283466593991748
stan_collapsed,N,250,0
stan_uncollapsed,N,250,0.00111375075935429
stan_collapsed_variationalbayes_meanfield,N,250,0.00392681215937766
mongrel_cholesky,N,250,0.00245607389913544
mongrel_cholesky_MAP,N,250,0.00238127451733954
conjugate_linear_model,N,250,0.0161107101282796
stan_uncollapsed,N,250,0.00122202256754012
stan_collapsed_variationalbayes_meanfield,N,250,0.00412298264561292
mongrel_cholesky,N,250,0.00180679998811016
mongrel_cholesky_MAP,N,250,0.00181672909228847
conjugate_linear_model,N,250,0.0100664324091603
stan_uncollapsed,N,250,0.00203164791424631
stan_collapsed_variationalbayes_meanfield,N,250,0.00561636564148221
mongrel_cholesky,N,250,0.00185309637745977
mongrel_cholesky_MAP,N,250,0.00181723993460844
conjugate_linear_model,N,250,0.0166566611109897
stan_collapsed,N,500,0
stan_uncollapsed,N,500,0.00107831249720639
stan_collapsed_variationalbayes_meanfield,N,500,0.00369528414558663
mongrel_cholesky,N,500,0.00204673106617492
mongrel_cholesky_MAP,N,500,0.0020514932492635
conjugate_linear_model,N,500,0.0147738613339821
stan_uncollapsed,N,500,0.00156481951624079
stan_collapsed_variationalbayes_meanfield,N,500,0.00380818995429098
mongrel_cholesky,N,500,0.00223554610735423
mongrel_cholesky_MAP,N,500,0.00227766801788853
conjugate_linear_model,N,500,0.0124208040424722
stan_uncollapsed,N,500,0.00103701553905474
stan_collapsed_variationalbayes_meanfield,N,500,0.00267372795175723
mongrel_cholesky,N,500,0.00232309729815655
mongrel_cholesky_MAP,N,500,0.0023040455588934
conjugate_linear_model,N,500,0.0113806552339941
stan_collapsed,N,750,0
stan_uncollapsed,N,750,0.00122232061788469
stan_collapsed_variationalbayes_meanfield,N,750,0.00404832958760748
mongrel_cholesky,N,750,0.00168817075305413
mongrel_cholesky_MAP,N,750,0.00167719456169024
conjugate_linear_model,N,750,0.0110254772846027
stan_uncollapsed,N,750,0.000937809083979448
stan_collapsed_variationalbayes_meanfield,N,750,0.00242874850840921
mongrel_cholesky,N,750,0.00124201094877238
mongrel_cholesky_MAP,N,750,0.00123870502167529
conjugate_linear_model,N,750,0.00824130586945638
stan_uncollapsed,N,750,0.000699365500247256
stan_collapsed_variationalbayes_meanfield,N,750,0.00151070826864983
mongrel_cholesky,N,750,0.00119542906342665
mongrel_cholesky_MAP,N,750,0.00117320468247017
conjugate_linear_model,N,750,0.00823704862183737
stan_collapsed,D,3,0
stan_uncollapsed,D,3,0.00130894777557193
stan_collapsed_variationalbayes_meanfield,D,3,0.000842292807762689
mongrel_cholesky,D,3,0.000549613077092567
mongrel_cholesky_MAP,D,3,0.0006730849573166
conjugate_linear_model,D,3,0.000791872176531239
stan_uncollapsed,D,3,0.00125586160806285
stan_collapsed_variationalbayes_meanfield,D,3,0.00137269512337737
mongrel_cholesky,D,3,0.00138301637853459
mongrel_cholesky_MAP,D,3,0.00115190199488689
conjugate_linear_model,D,3,0.00207479699037232
stan_uncollapsed,D,3,0.00185570343029278
stan_collapsed_variationalbayes_meanfield,D,3,0.00202541238665892
mongrel_cholesky,D,3,0.00109326845019958
mongrel_cholesky_MAP,D,3,0.000965507314864393
conjugate_linear_model,D,3,0.00226506331902138
stan_collapsed,D,5,0
stan_uncollapsed,D,5,0.000806945185094804
stan_collapsed_variationalbayes_meanfield,D,5,0.00209095726093215
mongrel_cholesky,D,5,0.00152077914532856
mongrel_cholesky_MAP,D,5,0.00149694274995478
conjugate_linear_model,D,5,0.00290993223685472
stan_uncollapsed,D,5,0.00153058689471064
stan_collapsed_variationalbayes_meanfield,D,5,0.00221979920819091
mongrel_cholesky,D,5,0.00153125741443701
mongrel_cholesky_MAP,D,5,0.00156738185402942
conjugate_linear_model,D,5,0.00521256422526534
stan_uncollapsed,D,5,0.00130140509395929
stan_collapsed_variationalbayes_meanfield,D,5,0.00433663978131908
mongrel_cholesky,D,5,0.00189039073657898
mongrel_cholesky_MAP,D,5,0.00187400043870122
conjugate_linear_model,D,5,0.00368344923823806
stan_collapsed,D,10,0
stan_uncollapsed,D,10,0.00151130445954725
stan_collapsed_variationalbayes_meanfield,D,10,0.00425162043518148
mongrel_cholesky,D,10,0.00190606732120955
mongrel_cholesky_MAP,D,10,0.00186219824078998
conjugate_linear_model,D,10,0.00695130448584378
stan_uncollapsed,D,10,0.00136745365509899
stan_collapsed_variationalbayes_meanfield,D,10,0.00364986794932509
mongrel_cholesky,D,10,0.00269316480251383
mongrel_cholesky_MAP,D,10,0.00264690483368549
conjugate_linear_model,D,10,0.00644786657618418
stan_uncollapsed,D,10,0.00143535775362349
stan_collapsed_variationalbayes_meanfield,D,10,0.00483200245454651
mongrel_cholesky,D,10,0.00220115806296305
mongrel_cholesky_MAP,D,10,0.00217023942263771
conjugate_linear_model,D,10,0.00609961925243672
stan_collapsed,D,25,0
stan_uncollapsed,D,25,0.00326642721868529
stan_collapsed_variationalbayes_meanfield,D,25,0.0142916668812182
mongrel_cholesky,D,25,0.00390061687931819
mongrel_cholesky_MAP,D,25,0.00382320306365627
conjugate_linear_model,D,25,0.02308149706321
stan_uncollapsed,D,25,0.00310358542797688
stan_collapsed_variationalbayes_meanfield,D,25,0.0136447294207026
mongrel_cholesky,D,25,0.0028562097816306
mongrel_cholesky_MAP,D,25,0.00289146347677279
conjugate_linear_model,D,25,0.0179948449081177
stan_uncollapsed,D,25,0.00286106567637075
stan_collapsed_variationalbayes_meanfield,D,25,0.00971818705848422
mongrel_cholesky,D,25,0.00311263839662181
mongrel_cholesky_MAP,D,25,0.00294517150287881
conjugate_linear_model,D,25,0.0258840311667008
stan_collapsed,D,50,0
stan_uncollapsed,D,50,0.00563348038592011
stan_collapsed_variationalbayes_meanfield,D,50,0.0146123145477778
mongrel_cholesky,D,50,0.004579318950906
mongrel_cholesky_MAP,D,50,0.00455839160155777
conjugate_linear_model,D,50,0.0236415746603242
stan_uncollapsed,D,50,0.00420182303330029
stan_collapsed_variationalbayes_meanfield,D,50,0.0127372862894411
mongrel_cholesky,D,50,0.00337325826367953
mongrel_cholesky_MAP,D,50,0.0033629349607946
conjugate_linear_model,D,50,0.0162883879474181
stan_uncollapsed,D,50,0.00596632022983051
stan_collapsed_variationalbayes_meanfield,D,50,0.0479330423985558
mongrel_cholesky,D,50,0.00315450199785831
mongrel_cholesky_MAP,D,50,0.00309302929835118
conjugate_linear_model,D,50,0.0200218245936661
stan_collapsed,D,75,0
stan_uncollapsed,D,75,0.0054169614293093
stan_collapsed_variationalbayes_meanfield,D,75,0.0170161382129361
mongrel_cholesky,D,75,0.00405218811176399
mongrel_cholesky_MAP,D,75,0.00386499634902537
conjugate_linear_model,D,75,0.0232424719133331
stan_uncollapsed,D,75,0.00589490250398768
stan_collapsed_variationalbayes_meanfield,D,75,0.0164678549717132
mongrel_cholesky,D,75,0.00316417239505842
mongrel_cholesky_MAP,D,75,0.00311004105486641
conjugate_linear_model,D,75,0.0246001048553284
stan_uncollapsed,D,75,0.00516395562760301
stan_collapsed_variationalbayes_meanfield,D,75,0.0257138341340327
mongrel_cholesky,D,75,0.00366050873847792
mongrel_cholesky_MAP,D,75,0.00371892904693357
conjugate_linear_model,D,75,0.0208838738331653
