model,sweep_param,sweep_value,sd_MSE
stan_collapsed,N,10,0
mongrel_cholesky,N,10,4.89969507020535e-05
conjugate_linear_model,N,10,0.000656632812614301
stan_collapsed,N,10,0
mongrel_cholesky,N,10,0.000218934243966853
conjugate_linear_model,N,10,0.00196711494468342
stan_collapsed,N,10,0
mongrel_cholesky,N,10,9.24804056507336e-05
conjugate_linear_model,N,10,0.000778790614622763
stan_collapsed,N,20,0
mongrel_cholesky,N,20,3.38422067245465e-05
conjugate_linear_model,N,20,0.00165769353006013
stan_collapsed,N,20,0
mongrel_cholesky,N,20,5.05475157767785e-05
conjugate_linear_model,N,20,0.000601656964608794
stan_collapsed,N,20,0
mongrel_cholesky,N,20,2.31060631605908e-05
conjugate_linear_model,N,20,0.00030234873987238
stan_collapsed,N,30,0
mongrel_cholesky,N,30,1.99983992942708e-05
conjugate_linear_model,N,30,0.000722886479030745
stan_collapsed,N,30,0
mongrel_cholesky,N,30,2.81070716644549e-05
conjugate_linear_model,N,30,0.00074306064303569
stan_collapsed,N,30,0
mongrel_cholesky,N,30,2.01453398930559e-05
conjugate_linear_model,N,30,0.000148585265027959
stan_collapsed,N,50,0
mongrel_cholesky,N,50,1.97579216721714e-05
conjugate_linear_model,N,50,0.000277185558942704
stan_collapsed,N,50,0
mongrel_cholesky,N,50,3.32659384429721e-05
conjugate_linear_model,N,50,0.000502273640321384
stan_collapsed,N,50,0
mongrel_cholesky,N,50,2.42547839132609e-05
conjugate_linear_model,N,50,0.000412049754653906
stan_collapsed,N,100,0
mongrel_cholesky,N,100,9.21144869890431e-06
conjugate_linear_model,N,100,0.000362204332670819
stan_collapsed,N,100,0
mongrel_cholesky,N,100,9.55197942940758e-06
conjugate_linear_model,N,100,0.000414891564766788
stan_collapsed,N,100,0
mongrel_cholesky,N,100,1.8659913117692e-05
conjugate_linear_model,N,100,0.000830960491614372
stan_collapsed,N,250,0
mongrel_cholesky,N,250,5.26308597965601e-06
conjugate_linear_model,N,250,0.000255239541635861
stan_collapsed,N,250,0
mongrel_cholesky,N,250,2.94254427994864e-06
conjugate_linear_model,N,250,0.000104616715597324
stan_collapsed,N,250,0
mongrel_cholesky,N,250,3.6227348308433e-06
conjugate_linear_model,N,250,0.000275388459158083
stan_collapsed,N,500,0
mongrel_cholesky,N,500,4.06885317647988e-06
conjugate_linear_model,N,500,0.000218453544842092
stan_collapsed,N,500,0
mongrel_cholesky,N,500,5.80113534154741e-06
conjugate_linear_model,N,500,0.000156058699855848
stan_collapsed,N,500,0
mongrel_cholesky,N,500,5.15938962431785e-06
conjugate_linear_model,N,500,0.00012923602939772
stan_collapsed,N,750,0
mongrel_cholesky,N,750,3.08743060907392e-06
conjugate_linear_model,N,750,0.000123818771984299
stan_collapsed,N,750,0
mongrel_cholesky,N,750,1.51940963317089e-06
conjugate_linear_model,N,750,6.78719298904038e-05
stan_collapsed,N,750,0
mongrel_cholesky,N,750,1.47047816239256e-06
conjugate_linear_model,N,750,6.73048525961884e-05
stan_collapsed,D,3,0
mongrel_cholesky,D,3,3.24220879746487e-07
conjugate_linear_model,D,3,9.1867773699867e-07
stan_collapsed,D,3,0
mongrel_cholesky,D,3,2.19786940931656e-06
conjugate_linear_model,D,3,3.76507834975643e-06
stan_collapsed,D,3,0
mongrel_cholesky,D,3,8.04973649443139e-07
conjugate_linear_model,D,3,5.2785768254083e-06
stan_collapsed,D,5,0
mongrel_cholesky,D,5,2.31330976327197e-06
conjugate_linear_model,D,5,8.60225054218124e-06
stan_collapsed,D,5,0
mongrel_cholesky,D,5,2.81120186839966e-06
conjugate_linear_model,D,5,2.94031891862499e-05
stan_collapsed,D,5,0
mongrel_cholesky,D,5,3.69184092001673e-06
conjugate_linear_model,D,5,1.3771810763896e-05
stan_collapsed,D,10,0
mongrel_cholesky,D,10,4.41427709966356e-06
conjugate_linear_model,D,10,5.15870691520597e-05
stan_collapsed,D,10,0
mongrel_cholesky,D,10,6.0858775562474e-06
conjugate_linear_model,D,10,4.49590784133982e-05
stan_collapsed,D,10,0
mongrel_cholesky,D,10,4.8421852712942e-06
conjugate_linear_model,D,10,3.88397629805161e-05
stan_collapsed,D,25,0
mongrel_cholesky,D,25,1.3825291570453e-05
conjugate_linear_model,D,25,0.000527503584443598
stan_collapsed,D,25,0
mongrel_cholesky,D,25,7.84042612423408e-06
conjugate_linear_model,D,25,0.000322375841629203
stan_collapsed,D,25,0
mongrel_cholesky,D,25,1.00448222307848e-05
conjugate_linear_model,D,25,0.000654383692733865
stan_collapsed,D,50,0
mongrel_cholesky,D,50,1.9036018912545e-05
conjugate_linear_model,D,50,0.000562429029202444
stan_collapsed,D,50,0
mongrel_cholesky,D,50,1.16735745170938e-05
conjugate_linear_model,D,50,0.000266769973810117
stan_collapsed,D,50,0
mongrel_cholesky,D,50,9.73589542098807e-06
conjugate_linear_model,D,50,0.000391462873014773
stan_collapsed,D,75,0
mongrel_cholesky,D,75,1.41103427378363e-05
conjugate_linear_model,D,75,0.000539378444428253
stan_collapsed,D,75,0
mongrel_cholesky,D,75,9.90570944483194e-06
conjugate_linear_model,D,75,0.000610884958251333
stan_collapsed,D,75,0
mongrel_cholesky,D,75,1.29679415138128e-05
conjugate_linear_model,D,75,0.000439269483105691
stan_collapsed,D,100,0
mongrel_cholesky,D,100,1.59509031217212e-05
conjugate_linear_model,D,100,0.000395544320065169
stan_collapsed,D,100,0
mongrel_cholesky,D,100,5.70901440955782e-06
conjugate_linear_model,D,100,0.000597921314389647
stan_collapsed,D,100,0
mongrel_cholesky,D,100,8.99185682414285e-06
conjugate_linear_model,D,100,0.00041926835526854
stan_collapsed,D,250,0
mongrel_cholesky,D,250,1.74559200359151e-05
conjugate_linear_model,D,250,0.000802693729575729
stan_collapsed,D,250,0
mongrel_cholesky,D,250,2.40324884014262e-05
conjugate_linear_model,D,250,0.000982979532061581
stan_collapsed,D,250,0
mongrel_cholesky,D,250,1.46070331926866e-05
conjugate_linear_model,D,250,0.000797071931324398
stan_collapsed,D,500,0
mongrel_cholesky,D,500,0.000819427415520529
conjugate_linear_model,D,500,0.00309265369227467
stan_collapsed,D,500,0
mongrel_cholesky,D,500,0.000257812252353305
conjugate_linear_model,D,500,0.00203362719919548
stan_collapsed,D,500,0
mongrel_cholesky,D,500,0.000457970306374553
conjugate_linear_model,D,500,0.00211292551084903
stan_collapsed,Q,2,0
mongrel_cholesky,Q,2,2.42645148266074e-06
conjugate_linear_model,Q,2,9.01015175083559e-06
stan_collapsed,Q,2,0
mongrel_cholesky,Q,2,2.89855177610092e-06
conjugate_linear_model,Q,2,1.68682444970028e-05
stan_collapsed,Q,2,0
mongrel_cholesky,Q,2,1.73220971178631e-06
conjugate_linear_model,Q,2,9.21330764943922e-06
stan_collapsed,Q,4,0
mongrel_cholesky,Q,4,8.74673025012279e-06
conjugate_linear_model,Q,4,6.48141717808738e-05
stan_collapsed,Q,4,0
mongrel_cholesky,Q,4,4.32775857469673e-06
conjugate_linear_model,Q,4,0.000173689095909246
stan_collapsed,Q,4,0
mongrel_cholesky,Q,4,8.50557077866415e-06
conjugate_linear_model,Q,4,0.000347257067396575
stan_collapsed,Q,10,0
mongrel_cholesky,Q,10,7.27351928763458e-05
conjugate_linear_model,Q,10,0.000904124324427164
stan_collapsed,Q,10,0
mongrel_cholesky,Q,10,0.000100268999229823
conjugate_linear_model,Q,10,0.000874990431414914
stan_collapsed,Q,10,0
mongrel_cholesky,Q,10,9.12639648729564e-05
conjugate_linear_model,Q,10,0.00120472189899733
stan_collapsed,Q,20,0
mongrel_cholesky,Q,20,0.000862934902848934
conjugate_linear_model,Q,20,0.00106427518102671
stan_collapsed,Q,20,0
mongrel_cholesky,Q,20,0.00109450590440737
conjugate_linear_model,Q,20,0.000823098640277272
stan_collapsed,Q,20,0
mongrel_cholesky,Q,20,0.000665063691789865
conjugate_linear_model,Q,20,0.000436495197266969
stan_collapsed,Q,50,0
mongrel_cholesky,Q,50,0.0112653588140678
conjugate_linear_model,Q,50,0.0356105268218744
stan_collapsed,Q,50,0
mongrel_cholesky,Q,50,0.00883200151485077
conjugate_linear_model,Q,50,0.034352505639919
stan_collapsed,Q,50,0
mongrel_cholesky,Q,50,0.00635223431283465
conjugate_linear_model,Q,50,0.0321830565665858
stan_collapsed,Q,75,0
mongrel_cholesky,Q,75,0.0260066657548018
conjugate_linear_model,Q,75,0.108501827116294
stan_collapsed,Q,75,0
mongrel_cholesky,Q,75,0.0163774308869394
conjugate_linear_model,Q,75,0.0997623730717157
stan_collapsed,Q,75,0
mongrel_cholesky,Q,75,0.0223097166140326
conjugate_linear_model,Q,75,0.104613613417117
stan_collapsed,Q,100,0
mongrel_cholesky,Q,100,0.0205792291871479
conjugate_linear_model,Q,100,0.101633226221109
stan_collapsed,Q,100,0
mongrel_cholesky,Q,100,0.0296580469029183
conjugate_linear_model,Q,100,0.152981154304925
stan_collapsed,Q,100,0
mongrel_cholesky,Q,100,0.0241190457039507
conjugate_linear_model,Q,100,0.131084804969709
stan_collapsed,Q,250,0
mongrel_cholesky,Q,250,0.0565025176831895
conjugate_linear_model,Q,250,0.236956031740454
stan_collapsed,Q,250,0
mongrel_cholesky,Q,250,0.0499686510734161
conjugate_linear_model,Q,250,0.183383020266769
stan_collapsed,Q,250,0
mongrel_cholesky,Q,250,0.0333488156296609
conjugate_linear_model,Q,250,0.126853940569161
stan_collapsed,Q,500,0
mongrel_cholesky,Q,500,0.0470837508063529
conjugate_linear_model,Q,500,0.132181490204615
stan_collapsed,Q,500,0
mongrel_cholesky,Q,500,0.0746518454601325
conjugate_linear_model,Q,500,0.175366906443053
stan_collapsed,Q,500,0
mongrel_cholesky,Q,500,0.04672163462321
conjugate_linear_model,Q,500,0.130928716158989
