model,sweep_param,sweep_value,sd_MSE
stan_uncollapsed,N,10,0
stan_collapsed,N,10,0.000278429126671873
mongrel_cholesky,N,10,0.000453893051255054
conjugate_linear_model,N,10,0.000943466543301609
stan_uncollapsed,N,10,0
stan_collapsed,N,10,0.00161679621862152
mongrel_cholesky,N,10,0.002858436580337
conjugate_linear_model,N,10,0.00564539455636613
stan_uncollapsed,N,10,0
stan_collapsed,N,10,0.000246282666033952
mongrel_cholesky,N,10,0.000446357432894885
conjugate_linear_model,N,10,0.000649137668446655
stan_uncollapsed,N,20,0
stan_collapsed,N,20,7.09707248333201e-05
mongrel_cholesky,N,20,0.000150479155046981
conjugate_linear_model,N,20,0.0013640477353086
stan_uncollapsed,N,20,0
stan_collapsed,N,20,9.7173440723815e-05
mongrel_cholesky,N,20,0.000248687187591237
conjugate_linear_model,N,20,0.00058037879620188
stan_uncollapsed,N,20,0
stan_collapsed,N,20,6.02747685394424e-05
mongrel_cholesky,N,20,0.000118279875721961
conjugate_linear_model,N,20,0.00042910839290823
stan_uncollapsed,N,30,0
stan_collapsed,N,30,3.48669197554228e-05
mongrel_cholesky,N,30,7.72953437563368e-05
conjugate_linear_model,N,30,0.000561433063727086
stan_uncollapsed,N,30,0
stan_collapsed,N,30,5.15078326945817e-05
mongrel_cholesky,N,30,0.000126784198389804
conjugate_linear_model,N,30,0.000606583406490807
stan_uncollapsed,N,30,0
stan_collapsed,N,30,4.34231808338319e-05
mongrel_cholesky,N,30,9.3565040608083e-05
conjugate_linear_model,N,30,0.000195537027055672
stan_uncollapsed,N,50,0
stan_collapsed,N,50,2.57013109364098e-05
mongrel_cholesky,N,50,7.11776981506846e-05
conjugate_linear_model,N,50,0.000201095786518683
stan_uncollapsed,N,50,0
stan_collapsed,N,50,2.58689828887949e-05
mongrel_cholesky,N,50,0.000107122440821363
conjugate_linear_model,N,50,0.000385645234554375
stan_uncollapsed,N,50,0
stan_collapsed,N,50,2.62494639945556e-05
mongrel_cholesky,N,50,8.0033049534991e-05
conjugate_linear_model,N,50,0.000327414585717227
stan_uncollapsed,N,100,0
stan_collapsed,N,100,9.84509036806618e-06
mongrel_cholesky,N,100,2.98167695612372e-05
conjugate_linear_model,N,100,0.000298661980084954
stan_uncollapsed,N,100,0
stan_collapsed,N,100,4.29574530969012e-06
mongrel_cholesky,N,100,1.85797605198085e-05
conjugate_linear_model,N,100,0.000361010809114292
stan_uncollapsed,N,100,0
stan_collapsed,N,100,1.33507866812847e-05
mongrel_cholesky,N,100,5.53602277843848e-05
conjugate_linear_model,N,100,0.000688208215708014
stan_uncollapsed,N,250,0
stan_collapsed,N,250,1.24044075396226e-06
mongrel_cholesky,N,250,9.14998732372165e-06
conjugate_linear_model,N,250,0.000235809450564747
stan_uncollapsed,N,250,0
stan_collapsed,N,250,1.50189391939777e-06
mongrel_cholesky,N,250,6.59475275640113e-06
conjugate_linear_model,N,250,8.87115019357025e-05
stan_uncollapsed,N,250,0
stan_collapsed,N,250,4.13795113656068e-06
mongrel_cholesky,N,250,1.34169137310553e-05
conjugate_linear_model,N,250,0.000225425805505532
stan_uncollapsed,N,500,0
stan_collapsed,N,500,1.16275784163148e-06
mongrel_cholesky,N,500,6.7341641164726e-06
conjugate_linear_model,N,500,0.000202799479964008
stan_uncollapsed,N,500,0
stan_collapsed,N,500,2.45667913800553e-06
mongrel_cholesky,N,500,1.15652134796952e-05
conjugate_linear_model,N,500,0.000137850078275708
stan_uncollapsed,N,500,0
stan_collapsed,N,500,1.09234384298586e-06
mongrel_cholesky,N,500,8.34234541194121e-06
conjugate_linear_model,N,500,0.000117741740862811
stan_uncollapsed,N,750,0
stan_collapsed,N,750,1.49406769290602e-06
mongrel_cholesky,N,750,6.16031908204229e-06
conjugate_linear_model,N,750,0.000106657021998568
stan_uncollapsed,N,750,0
stan_collapsed,N,750,8.89789793117861e-07
mongrel_cholesky,N,750,3.75479163389432e-06
conjugate_linear_model,N,750,5.87674947483646e-05
stan_uncollapsed,N,750,0
stan_collapsed,N,750,4.95248584267942e-07
mongrel_cholesky,N,750,2.83490668452542e-06
conjugate_linear_model,N,750,5.93843155991892e-05
stan_uncollapsed,N,1000,0
mongrel_cholesky,N,1000,3.68814456668379e-06
conjugate_linear_model,N,1000,5.16638429674778e-05
stan_uncollapsed,N,1000,0
mongrel_cholesky,N,1000,2.96424867220982e-06
conjugate_linear_model,N,1000,4.62625895864686e-05
stan_uncollapsed,N,1000,0
mongrel_cholesky,N,1000,3.00688077837279e-06
conjugate_linear_model,N,1000,4.50177668810764e-05
stan_uncollapsed,D,3,0
stan_collapsed,D,3,1.71334427917471e-06
mongrel_cholesky,D,3,1.5510508512159e-06
conjugate_linear_model,D,3,1.90966447684518e-06
stan_uncollapsed,D,3,0
stan_collapsed,D,3,1.74852280652367e-06
mongrel_cholesky,D,3,4.43232694050697e-06
conjugate_linear_model,D,3,3.46371608702014e-06
stan_uncollapsed,D,3,0
stan_collapsed,D,3,3.61848750185275e-06
mongrel_cholesky,D,3,4.9963166453185e-06
conjugate_linear_model,D,3,9.88733866838602e-06
stan_uncollapsed,D,5,0
stan_collapsed,D,5,6.51160531747687e-07
mongrel_cholesky,D,5,2.98053211815412e-06
conjugate_linear_model,D,5,8.24341934799987e-06
stan_uncollapsed,D,5,0
stan_collapsed,D,5,2.37525426884734e-06
mongrel_cholesky,D,5,4.83097342882342e-06
conjugate_linear_model,D,5,2.9437119462809e-05
stan_uncollapsed,D,5,0
stan_collapsed,D,5,1.81241793202556e-06
mongrel_cholesky,D,5,5.11374031962196e-06
conjugate_linear_model,D,5,1.68648322041216e-05
stan_uncollapsed,D,10,0
stan_collapsed,D,10,2.28404116944742e-06
mongrel_cholesky,D,10,8.34713392864269e-06
conjugate_linear_model,D,10,4.71096146291947e-05
stan_uncollapsed,D,10,0
stan_collapsed,D,10,1.92068596927576e-06
mongrel_cholesky,D,10,1.05798925575596e-05
conjugate_linear_model,D,10,3.93507527539203e-05
stan_uncollapsed,D,10,0
stan_collapsed,D,10,2.10293379131544e-06
mongrel_cholesky,D,10,9.42035155331658e-06
conjugate_linear_model,D,10,3.05534823601821e-05
stan_uncollapsed,D,25,0
stan_collapsed,D,25,1.06695467749681e-05
mongrel_cholesky,D,25,3.78869750634098e-05
conjugate_linear_model,D,25,0.000427333708712248
stan_uncollapsed,D,25,0
stan_collapsed,D,25,9.72115539854184e-06
mongrel_cholesky,D,25,2.84139456580434e-05
conjugate_linear_model,D,25,0.000261748428185167
stan_uncollapsed,D,25,0
stan_collapsed,D,25,8.26670643282798e-06
mongrel_cholesky,D,25,2.93995263830255e-05
conjugate_linear_model,D,25,0.000557242628061454
stan_uncollapsed,D,50,0
stan_collapsed,D,50,3.17361012585466e-05
mongrel_cholesky,D,50,4.74853653523857e-05
conjugate_linear_model,D,50,0.000439701668199663
stan_uncollapsed,D,50,0
stan_collapsed,D,50,1.77848519103506e-05
mongrel_cholesky,D,50,4.07018817306278e-05
conjugate_linear_model,D,50,0.000187883423401547
stan_uncollapsed,D,50,0
stan_collapsed,D,50,3.5669568317172e-05
mongrel_cholesky,D,50,6.70520584085625e-05
conjugate_linear_model,D,50,0.000253593737435372
stan_uncollapsed,D,75,0
stan_collapsed,D,75,2.93434711266247e-05
mongrel_cholesky,D,75,6.76385445905143e-05
conjugate_linear_model,D,75,0.000409787959185419
stan_uncollapsed,D,75,0
stan_collapsed,D,75,3.48291822102408e-05
mongrel_cholesky,D,75,6.61604905749882e-05
conjugate_linear_model,D,75,0.000430571111122014
stan_uncollapsed,D,75,0
stan_collapsed,D,75,2.67605706487454e-05
mongrel_cholesky,D,75,5.49295744828945e-05
conjugate_linear_model,D,75,0.000325375237048663
stan_uncollapsed,D,100,0
stan_collapsed,D,100,0.000140792599073167
mongrel_cholesky,D,100,0.000188031460475345
conjugate_linear_model,D,100,0.00025660779910163
stan_uncollapsed,D,100,0
stan_collapsed,D,100,0.000571664868245805
mongrel_cholesky,D,100,0.000624084872440533
conjugate_linear_model,D,100,0.000469183621070198
stan_uncollapsed,D,100,0
stan_collapsed,D,100,0.000200765119678012
mongrel_cholesky,D,100,0.000228548695705519
conjugate_linear_model,D,100,0.000277413215004572
stan_uncollapsed,Q,2,0
stan_collapsed,Q,2,2.05213009434475e-06
mongrel_cholesky,Q,2,6.05554220637225e-06
conjugate_linear_model,Q,2,6.02110959144756e-06
stan_uncollapsed,Q,2,0
stan_collapsed,Q,2,2.20101236051307e-06
mongrel_cholesky,Q,2,7.5155655921794e-06
conjugate_linear_model,Q,2,1.42542079098595e-05
stan_uncollapsed,Q,2,0
stan_collapsed,Q,2,3.83005300751888e-06
mongrel_cholesky,Q,2,6.89891016535529e-06
conjugate_linear_model,Q,2,7.82907442068333e-06
stan_uncollapsed,Q,4,0
stan_collapsed,Q,4,6.27988809582966e-06
mongrel_cholesky,Q,4,2.22653331950457e-05
conjugate_linear_model,Q,4,5.25759397345478e-05
stan_uncollapsed,Q,4,0
stan_collapsed,Q,4,4.63288371656129e-06
mongrel_cholesky,Q,4,1.20663213905963e-05
conjugate_linear_model,Q,4,0.000138635415335957
stan_uncollapsed,Q,4,0
stan_collapsed,Q,4,1.23371673390352e-05
mongrel_cholesky,Q,4,2.87187863200315e-05
conjugate_linear_model,Q,4,0.000273810416044537
stan_uncollapsed,Q,10,0
stan_collapsed,Q,10,4.50669612272407e-05
mongrel_cholesky,Q,10,0.000207524490057377
conjugate_linear_model,Q,10,0.000633577729011051
stan_uncollapsed,Q,10,0
stan_collapsed,Q,10,4.64188147169348e-05
mongrel_cholesky,Q,10,0.000183092995275535
conjugate_linear_model,Q,10,0.000646140497518907
stan_uncollapsed,Q,10,0
stan_collapsed,Q,10,4.7855439229297e-05
mongrel_cholesky,Q,10,0.000243044618714073
conjugate_linear_model,Q,10,0.00091551886301736
stan_uncollapsed,Q,20,0
stan_collapsed,Q,20,0.000415942753307668
mongrel_cholesky,Q,20,0.00242116680860939
conjugate_linear_model,Q,20,0.00200368503965075
stan_uncollapsed,Q,20,0
stan_collapsed,Q,20,0.000476060389722882
mongrel_cholesky,Q,20,0.00293633831705237
conjugate_linear_model,Q,20,0.0018633161127932
stan_uncollapsed,Q,20,0
stan_collapsed,Q,20,0.000249576261139116
mongrel_cholesky,Q,20,0.00166613213170926
conjugate_linear_model,Q,20,0.000711402301312066
stan_uncollapsed,Q,50,0
stan_collapsed,Q,50,0.00676356097583397
mongrel_cholesky,Q,50,0.0345842517218355
conjugate_linear_model,Q,50,0.0717204557043907
stan_uncollapsed,Q,50,0
stan_collapsed,Q,50,0.00673491793783496
mongrel_cholesky,Q,50,0.029985656322433
conjugate_linear_model,Q,50,0.0693919902047494
stan_uncollapsed,Q,50,0
stan_collapsed,Q,50,0.00575677860291292
mongrel_cholesky,Q,50,0.0232647888685599
conjugate_linear_model,Q,50,0.0638225182591768
stan_uncollapsed,Q,75,0
stan_collapsed,Q,75,0.0185563382707019
mongrel_cholesky,Q,75,0.0846600821293788
conjugate_linear_model,Q,75,0.209888639509145
stan_uncollapsed,Q,75,0
stan_collapsed,Q,75,0.0239064266499357
mongrel_cholesky,Q,75,0.074925655270013
conjugate_linear_model,Q,75,0.215460554953906
stan_uncollapsed,Q,75,0
stan_collapsed,Q,75,0.0133635218504506
mongrel_cholesky,Q,75,0.066198562054943
conjugate_linear_model,Q,75,0.185558869726178
stan_uncollapsed,Q,100,0
stan_collapsed,Q,100,0.0183369504904306
mongrel_cholesky,Q,100,0.0746037761262257
conjugate_linear_model,Q,100,0.199481272033855
stan_uncollapsed,Q,100,0
stan_collapsed,Q,100,0.0319130101754237
mongrel_cholesky,Q,100,0.115010305326316
conjugate_linear_model,Q,100,0.311608640635612
stan_uncollapsed,Q,100,0
stan_collapsed,Q,100,0.0263493324543375
mongrel_cholesky,Q,100,0.095872975558608
conjugate_linear_model,Q,100,0.264871208410412
stan_uncollapsed,Q,250,0
stan_collapsed,Q,250,0.00504985585950313
mongrel_cholesky,Q,250,0.0584285852877857
conjugate_linear_model,Q,250,0.23609180746001
stan_uncollapsed,Q,250,0
stan_collapsed,Q,250,0.00937640087497416
mongrel_cholesky,Q,250,0.0867833765318034
conjugate_linear_model,Q,250,0.245669966696234
stan_uncollapsed,Q,250,0
stan_collapsed,Q,250,0.0111176415618184
mongrel_cholesky,Q,250,0.077393200934738
conjugate_linear_model,Q,250,0.202069522283171
stan_uncollapsed,Q,500,0
stan_collapsed,Q,500,0.00334936761900664
mongrel_cholesky,Q,500,0.0565263427543866
conjugate_linear_model,Q,500,0.146334782858566
stan_uncollapsed,Q,500,0
stan_collapsed,Q,500,0.00546984648592092
mongrel_cholesky,Q,500,0.0530666027285486
conjugate_linear_model,Q,500,0.139699683676761
stan_uncollapsed,Q,500,0
stan_collapsed,Q,500,0.00289737736457765
mongrel_cholesky,Q,500,0.0539904892166649
conjugate_linear_model,Q,500,0.141049404742821
