model,sweep_param,sweep_value,skew_RMSE
stan_collapsed,N,1,0
stan_uncollapsed,N,1,0.152170171416999
stan_collapsed_variationalbayes_meanfield,N,1,0.140229827512129
mongrel_cholesky,N,1,0.123390866926194
mongrel_cholesky_MAP,N,1,0.123390866926194
conjugate_linear_model,N,1,0.16479772333981
stan_uncollapsed,N,1,0.158833059875399
stan_collapsed_variationalbayes_meanfield,N,1,0.101869525242592
mongrel_cholesky,N,1,0.121151182319044
mongrel_cholesky_MAP,N,1,0.121151182319044
conjugate_linear_model,N,1,0.159747640587553
stan_uncollapsed,N,1,0.127496914217723
stan_collapsed_variationalbayes_meanfield,N,1,0.117480708607804
mongrel_cholesky,N,1,0.129988678229434
mongrel_cholesky_MAP,N,1,0.129988678229434
conjugate_linear_model,N,1,0.155723489653537
stan_collapsed,N,3,0
stan_uncollapsed,N,3,0.160028928190719
stan_collapsed_variationalbayes_meanfield,N,3,0.120386798383556
mongrel_cholesky,N,3,0.105945259218027
mongrel_cholesky_MAP,N,3,0.105945259218027
conjugate_linear_model,N,3,0.14989288634131
stan_uncollapsed,N,3,0.127526085837692
stan_collapsed_variationalbayes_meanfield,N,3,0.135852385813105
mongrel_cholesky,N,3,0.121633357800145
mongrel_cholesky_MAP,N,3,0.121633357800145
conjugate_linear_model,N,3,0.184722254887929
stan_uncollapsed,N,3,0.130125167132919
stan_collapsed_variationalbayes_meanfield,N,3,0.125962321751883
mongrel_cholesky,N,3,0.116028989408879
mongrel_cholesky_MAP,N,3,0.116028989408879
conjugate_linear_model,N,3,0.155720023372692
stan_collapsed,N,5,0
stan_uncollapsed,N,5,0.138067737413568
stan_collapsed_variationalbayes_meanfield,N,5,0.126036999464163
mongrel_cholesky,N,5,0.102518777976071
mongrel_cholesky_MAP,N,5,0.102518777976071
conjugate_linear_model,N,5,0.125488776435238
stan_uncollapsed,N,5,0.125099457271014
stan_collapsed_variationalbayes_meanfield,N,5,0.135627146029124
mongrel_cholesky,N,5,0.106386839351353
mongrel_cholesky_MAP,N,5,0.106386839351353
conjugate_linear_model,N,5,0.145179296305264
stan_uncollapsed,N,5,0.127794172283343
stan_collapsed_variationalbayes_meanfield,N,5,0.101648566153984
mongrel_cholesky,N,5,0.103448524207041
mongrel_cholesky_MAP,N,5,0.103448524207041
conjugate_linear_model,N,5,0.133235619474839
stan_collapsed,N,10,0
stan_uncollapsed,N,10,0.0979700231143889
stan_collapsed_variationalbayes_meanfield,N,10,0.108838992325529
mongrel_cholesky,N,10,0.0956042420048225
mongrel_cholesky_MAP,N,10,0.0956042420048225
conjugate_linear_model,N,10,0.111534446217507
stan_uncollapsed,N,10,0.103796958325697
stan_collapsed_variationalbayes_meanfield,N,10,0.137178293086451
mongrel_cholesky,N,10,0.0992432168959713
mongrel_cholesky_MAP,N,10,0.0992432168959713
conjugate_linear_model,N,10,0.154201236706636
stan_uncollapsed,N,10,0.11431787008701
stan_collapsed_variationalbayes_meanfield,N,10,0.108527433422337
mongrel_cholesky,N,10,0.0870602849180256
mongrel_cholesky_MAP,N,10,0.0870602849180256
conjugate_linear_model,N,10,0.109910759454406
stan_collapsed,N,20,0
stan_uncollapsed,N,20,0.0798050827264733
stan_collapsed_variationalbayes_meanfield,N,20,0.0945985141056146
mongrel_cholesky,N,20,0.0869472118158165
mongrel_cholesky_MAP,N,20,0.0869472118158165
conjugate_linear_model,N,20,0.105341562776501
stan_uncollapsed,N,20,0.0966995647899997
stan_collapsed_variationalbayes_meanfield,N,20,0.099663357247309
mongrel_cholesky,N,20,0.0847536783948824
mongrel_cholesky_MAP,N,20,0.0847536783948824
conjugate_linear_model,N,20,0.106436683844845
stan_uncollapsed,N,20,0.0966716012498405
stan_collapsed_variationalbayes_meanfield,N,20,0.0999363065872934
mongrel_cholesky,N,20,0.0900117744075959
mongrel_cholesky_MAP,N,20,0.0900117744075959
conjugate_linear_model,N,20,0.103474857712263
stan_collapsed,N,30,0
stan_uncollapsed,N,30,0.104508148598082
stan_collapsed_variationalbayes_meanfield,N,30,0.0903162703527533
mongrel_cholesky,N,30,0.0875391028607907
mongrel_cholesky_MAP,N,30,0.0875391028607907
conjugate_linear_model,N,30,0.0906081925345564
stan_uncollapsed,N,30,0.0844201163732556
stan_collapsed_variationalbayes_meanfield,N,30,0.100747177798098
mongrel_cholesky,N,30,0.083273148055285
mongrel_cholesky_MAP,N,30,0.083273148055285
conjugate_linear_model,N,30,0.0986274445427183
stan_uncollapsed,N,30,0.0822348033647838
stan_collapsed_variationalbayes_meanfield,N,30,0.0963233822698765
mongrel_cholesky,N,30,0.0793559660943971
mongrel_cholesky_MAP,N,30,0.0793559660943971
conjugate_linear_model,N,30,0.0928162392644375
